date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2023-08-03,1216,76.20,73.05,3.150000,息,73.10,80.30,65.80
2023-08-03,1720,63.40,60.90,2.500000,息,60.90,66.90,54.90
2023-08-03,1727,37.60,36.86,0.731022,息,36.85,40.50,33.20
2023-08-03,1730,60.90,57.90,3.000000,息,57.90,63.60,52.20
2023-08-03,1809,15.55,15.30,0.250000,息,15.30,16.80,13.80
2023-08-03,2207,738.00,721.56,16.431373,權息,722.00,793.00,650.00
2023-08-03,2233,111.00,105.00,6.000000,息,105.00,115.50,94.50
2023-08-03,2342,39.80,38.80,1.000000,息,38.80,42.65,34.95
2023-08-03,2351,103.50,100.30,3.200000,息,100.50,110.00,90.30
2023-08-03,2376,297.00,290.80,6.200000,息,291.00,319.50,262.00
2023-08-03,2912,280.50,271.50,9.000000,息,271.50,298.50,244.50
2023-08-03,3209,39.35,35.77,3.578376,息,35.75,39.30,32.20
2023-08-03,3533,736.00,710.81,25.182608,息,711.00,781.00,640.00
2023-08-03,4720,14.70,14.50,0.200000,息,14.50,15.95,13.05
2023-08-03,6201,49.05,46.05,3.000000,息,46.05,50.60,41.45
2023-08-03,6414,294.00,281.25,12.740273,息,281.50,309.00,253.50
2023-08-03,6743,55.90,55.40,0.500000,息,55.40,60.90,49.90
2023-08-03,6807,28.60,26.71,1.890000,息,26.70,29.35,24.05
2023-08-03,9910,212.00,182.41,29.589286,權息,182.50,200.50,164.50
2023-08-03,9938,56.30,53.80,2.500000,息,53.80,59.10,48.45
