date,stock_id,pre_close,ref_price,value,kind,open_base
2019-07-18,006208,47.41,46.74,0.661000,息,46.74
2019-07-18,00692,21.69,21.43,0.256000,息,21.43
2019-07-18,00717,20.08,19.85,0.225000,息,19.85
2019-07-18,1110,16.90,16.80,0.100000,息,16.80
2019-07-18,1219,18.00,17.90,0.100000,息,17.90
2019-07-18,1227,61.50,59.00,2.500000,息,59.00
2019-07-18,1414,7.06,6.86,0.200000,息,6.86
2019-07-18,1519,27.80,27.50,0.300000,息,27.50
2019-07-18,1535,33.45,32.35,1.100000,息,32.35
2019-07-18,1905,10.85,10.50,0.350000,息,10.50
2019-07-18,2013,25.20,24.73,0.470000,息,24.75
2019-07-18,2204,28.35,26.65,1.700000,息,26.65
2019-07-18,2417,11.20,11.10,0.100000,息,11.10
2019-07-18,2449,32.55,31.20,1.350000,息,31.20
2019-07-18,2496,82.90,78.90,4.000000,息,78.90
2019-07-18,2535,21.95,20.32,1.621114,息,20.30
2019-07-18,2613,13.45,13.16,0.282731,息,13.15
2019-07-18,2707,188.00,176.98,11.017956,息,177.00
2019-07-18,3032,29.05,26.80,2.250000,息,26.80
2019-07-18,3550,15.80,14.80,1.000000,息,14.80
2019-07-18,3591,14.45,14.15,0.299996,息,14.15
2019-07-18,3617,97.70,92.40,5.300000,息,92.40
2019-07-18,4562,33.50,32.00,1.500000,息,32.00
2019-07-18,4935,59.50,58.70,0.800000,息,58.70
2019-07-18,6189,35.15,32.52,2.630000,息,32.50
2019-07-18,6451,112.00,109.66,2.333239,息,109.50
2019-07-18,8222,20.50,20.00,0.500000,息,20.00
2019-07-18,8249,23.15,21.85,1.300000,息,21.85
2019-07-18,8497,53.20,49.70,3.500000,息,49.70
2019-07-18,9911,48.90,46.25,2.650000,息,46.25
2019-07-18,9917,89.90,85.90,4.000000,息,85.90
2019-07-18,9919,10.75,10.55,0.200000,息,10.55
