date,stock_id,pre_close,ref_price,value,kind,open_base
2019-07-03,1303,78.30,73.30,5.000000,息,73.30
2019-07-03,1307,24.65,24.15,0.500000,息,24.15
2019-07-03,1437,21.15,20.65,0.500000,息,20.65
2019-07-03,1504,23.05,22.15,0.900000,息,22.15
2019-07-03,1560,61.20,57.70,3.500000,息,57.70
2019-07-03,2362,31.50,30.50,1.000000,息,30.50
2019-07-03,2397,87.90,82.62,5.280000,息,82.60
2019-07-03,2451,71.30,66.30,5.000000,息,66.30
2019-07-03,2548,85.00,80.00,5.000000,息,80.00
2019-07-03,2820,15.00,14.21,0.790000,息,14.20
2019-07-03,3006,32.30,30.80,1.500000,息,30.80
2019-07-03,3016,46.45,45.45,1.000000,息,45.45
2019-07-03,4557,76.50,69.47,7.024719,權息,71.50
2019-07-03,4952,36.80,34.30,2.500000,息,34.30
2019-07-03,6281,66.90,62.90,4.000000,息,62.90
2019-07-03,6405,13.85,13.35,0.500000,息,13.35
2019-07-03,8341,278.00,271.50,6.500000,息,271.50
2019-07-03,8463,25.15,24.45,0.700000,息,24.45
2019-07-03,8467,43.10,40.60,2.500000,息,40.60
2019-07-03,9931,33.45,32.15,1.300000,息,32.15
