date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2025-07-08,1325,29.85,29.55,0.300000,息,29.55,32.50,26.60
2025-07-08,1583,55.20,52.17,3.027422,息,52.20,57.30,47.00
2025-07-08,2228,95.30,86.30,9.000000,息,86.30,94.90,77.70
2025-07-08,2365,34.55,33.95,0.600000,息,33.95,37.30,30.60
2025-07-08,2371,39.85,36.74,3.105263,息,36.75,40.40,33.10
2025-07-08,2425,34.30,34.15,0.150000,息,34.15,37.55,30.75
2025-07-08,2451,111.00,104.91,6.087933,息,105.00,115.00,94.50
2025-07-08,2461,16.75,15.93,0.813673,息,15.95,17.50,14.35
2025-07-08,2482,19.05,18.44,0.610000,息,18.45,20.25,16.60
2025-07-08,2855,22.60,19.54,3.054546,權息,19.55,21.45,17.60
2025-07-08,2887E,50.40,47.96,2.436250,息,47.95,52.70,43.20
2025-07-08,2887F,45.80,43.90,1.900000,息,43.90,48.25,39.55
2025-07-08,2887Z1,15.70,15.04,0.653050,息,15.05,16.50,13.55
2025-07-08,2888A,37.25,35.54,1.710000,息,35.55,39.05,32.00
2025-07-08,2888B,37.40,35.60,1.800000,息,35.60,39.15,32.05
2025-07-08,3014,137.00,128.00,9.000000,息,128.00,140.50,115.50
2025-07-08,3532,77.30,75.50,1.800000,息,75.50,83.00,68.00
2025-07-08,5538,30.30,28.80,1.500000,息,28.80,31.65,25.95
2025-07-08,6196,185.50,179.59,5.904742,息,179.50,197.50,162.00
2025-07-08,6215,94.20,92.70,1.500000,息,92.70,101.50,83.50
2025-07-08,6257,79.80,75.75,4.042867,息,75.80,83.30,68.20
2025-07-08,8261,78.80,75.60,3.190590,息,75.60,83.10,68.10
