date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2025-07-21,0050,51.45,51.09,0.360000,息,51.10,56.15,45.99
2025-07-21,0056,35.60,34.73,0.866000,息,34.73,38.20,31.26
2025-07-21,006203,94.10,93.55,0.550000,息,93.55,102.90,84.20
2025-07-21,1436,116.00,81.60,34.394775,權息,81.60,89.70,73.50
2025-07-21,1446,23.05,21.05,2.000000,息,21.05,23.15,18.95
2025-07-21,1535,57.50,54.50,3.000000,息,54.50,59.90,49.05
2025-07-21,1560,363.00,359.01,3.986633,息,359.00,394.50,323.50
2025-07-21,2617,28.35,26.85,1.500000,息,26.85,29.50,24.20
2025-07-21,5546,30.45,28.45,2.000000,息,28.45,31.25,25.65
2025-07-21,6782,174.50,169.40,5.100000,息,169.50,186.00,152.50
2025-07-21,6923,90.50,86.48,4.017488,息,86.50,95.10,77.90
2025-07-21,9926,52.20,50.20,2.000000,息,50.20,55.20,45.20
