date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down,ex_div_ref
2018-06-26,1324,12.80,12.50,0.300000,息,12.50,13.75,11.25,12.50
2018-06-26,2881,53.20,50.90,2.300000,息,50.90,55.90,45.85,50.90
2018-06-26,2881A,65.60,63.14,2.460000,息,63.10,69.40,56.90,63.14
2018-06-26,2882,55.60,53.10,2.500000,息,53.10,58.40,47.80,53.10
2018-06-26,2882A,64.60,62.32,2.280000,息,62.30,68.50,56.10,62.32
2018-06-26,3040,57.90,48.90,9.000000,息,48.90,53.70,44.05,48.90
2018-06-26,3669,20.75,20.35,0.399405,息,20.35,22.35,18.35,20.35
2018-06-26,5234,92.00,80.45,11.545454,權息,80.50,88.40,72.50,80.45
2018-06-26,8261,46.75,46.30,0.450000,息,46.30,50.90,41.70,46.30
2018-06-26,8341,210.50,204.50,6.000000,息,204.50,224.50,184.50,204.50
