date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2025-07-09,1338,23.75,22.97,0.775109,息,22.95,25.25,20.70
2025-07-09,1472,96.50,93.50,3.000000,息,93.50,102.50,84.20
2025-07-09,1612,36.25,34.15,2.100000,息,34.15,37.55,30.75
2025-07-09,1616,34.60,32.79,1.803600,息,32.80,36.05,29.55
2025-07-09,2492,80.30,77.89,2.404950,息,77.90,85.60,70.20
2025-07-09,2609,72.10,64.60,7.500000,息,64.60,71.00,58.20
2025-07-09,2614,17.40,15.73,1.666055,權息,15.75,17.30,14.20
2025-07-09,2618,40.15,37.75,2.400000,息,37.75,41.50,34.00
2025-07-09,2634,43.00,41.62,1.380000,息,41.60,45.75,37.50
2025-07-09,2645,104.50,100.00,4.500000,息,100.00,110.00,90.00
2025-07-09,2739,40.00,39.00,1.000000,息,39.00,42.90,35.10
2025-07-09,2836A,22.75,21.97,0.775000,息,21.95,24.15,19.80
2025-07-09,2945,39.95,38.45,1.500000,息,38.45,42.25,34.65
2025-07-09,3006,50.30,49.30,1.000000,息,49.30,54.20,44.40
2025-07-09,3016,31.50,31.00,0.500000,息,31.00,34.10,27.90
2025-07-09,3034,534.00,506.00,28.000000,息,506.00,556.00,455.50
2025-07-09,3045,113.00,108.50,4.500000,息,108.50,119.00,97.70
2025-07-09,4720,16.05,15.05,1.000000,息,15.05,16.55,13.55
2025-07-09,4904,87.70,84.14,3.560000,息,84.10,92.50,75.80
2025-07-09,5469,59.60,57.07,2.524719,息,57.10,62.70,51.40
2025-07-09,6830,117.00,116.00,1.000000,息,116.00,127.50,104.50
2025-07-09,6937,208.00,205.89,2.102523,息,206.00,226.00,185.50
2025-07-09,8103,45.60,42.73,2.862030,息,42.75,47.00,38.50
2025-07-09,8271,51.80,49.58,2.210302,息,49.60,54.50,44.65
2025-07-09,8367,47.55,44.75,2.800000,息,44.75,49.20,40.30
2025-07-09,9902,17.90,17.60,0.300000,息,17.60,19.35,15.85
2025-07-09,9945,31.35,30.25,1.100000,息,30.25,33.25,27.25
