date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down,ex_div_ref
2022-06-27,1232,163.50,157.50,6.000000,息,157.50,173.00,142.00,157.50
2022-06-27,1314,10.05,9.65,0.400000,息,9.65,10.60,8.69,9.65
2022-06-27,1437,24.90,24.00,0.900000,息,24.00,26.40,21.60,24.00
2022-06-27,1598,37.80,35.28,2.514572,息,35.30,38.80,31.80,35.28
2022-06-27,1760,109.50,108.00,1.500000,息,108.00,118.50,97.20,108.00
2022-06-27,2368,83.00,80.80,2.200000,息,80.80,88.80,72.80,80.80
2022-06-27,2606,44.45,41.45,3.000000,息,41.45,45.55,37.35,41.45
2022-06-27,2609,98.30,78.30,20.000000,息,78.30,86.10,70.50,78.30
2022-06-27,3010,94.50,87.70,6.800000,息,87.70,96.40,79.00,87.70
2022-06-27,3015,40.05,36.75,3.300000,息,36.75,40.40,33.10,36.75
2022-06-27,3416,77.60,73.10,4.495135,息,73.10,80.40,65.80,73.10
2022-06-27,4557,81.40,76.90,4.500000,息,76.90,84.50,69.30,76.90
