date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down,ex_div_ref
2026-09-16,00404A,9.72,9.36,0.360000,息,9.36,10.29,8.43,9.36
2026-09-16,00730,28.19,28.08,0.110000,息,28.08,30.88,25.28,28.08
2026-09-16,00770,67.75,61.75,6.000000,息,61.75,9999.95,0.01,61.75
2026-09-16,00896,27.69,26.24,1.450000,息,26.24,28.86,23.62,26.24
2026-09-16,00900,19.52,19.44,0.075000,息,19.44,21.38,17.50,19.44
2026-09-16,00915,32.89,32.29,0.600000,息,32.29,35.51,29.07,32.29
2026-09-16,00919,32.74,31.64,1.100000,息,31.64,34.80,28.48,31.64
2026-09-16,00921,24.04,23.04,1.000000,息,23.04,25.34,20.74,23.04
2026-09-16,00934,29.56,29.23,0.330000,息,29.23,32.15,26.31,29.23
2026-09-16,00935,57.40,55.57,1.830000,息,55.55,61.10,50.05,55.57
2026-09-16,00943,20.78,20.53,0.250000,息,20.53,22.58,18.48,20.53
2026-09-16,00944,21.42,21.31,0.109000,息,21.31,23.44,19.18,21.31
2026-09-16,00945B,14.41,14.31,0.097000,息,14.31,9999.95,0.01,14.31
2026-09-16,00952,17.66,17.54,0.120000,息,17.54,19.29,15.79,17.54
2026-09-16,00961,13.33,13.14,0.190000,息,13.14,14.45,11.83,13.14
2026-09-16,00963,13.11,13.01,0.100000,息,13.01,9999.95,0.01,13.01
2026-09-16,00964,14.85,14.65,0.200000,息,14.65,9999.95,0.01,14.65
2026-09-16,00972,22.15,21.93,0.220000,息,21.93,9999.95,0.01,21.93
2026-09-16,009802,19.70,19.51,0.189000,息,19.51,21.46,17.56,19.51
2026-09-16,009809,17.95,17.73,0.215000,息,17.73,19.50,15.96,17.73
2026-09-16,00981A,28.86,28.23,0.630000,息,28.23,31.05,25.41,28.23
2026-09-16,00981T,11.72,11.63,0.082000,息,11.63,9999.95,0.01,11.63
2026-09-16,00982D,9.51,9.45,0.052000,息,9.45,9999.95,0.01,9.45
2026-09-16,00982T,15.78,14.78,1.000000,息,14.78,9999.95,0.01,14.78
2026-09-16,00983D,9.77,9.70,0.061000,息,9.70,9999.95,0.01,9.70
2026-09-16,00999A,11.18,10.89,0.290000,息,10.89,11.97,9.81,10.89
2026-09-16,1517,10.50,10.30,0.200000,息,10.30,11.30,9.27,10.30
2026-09-16,2330,2385.00,2377.99,7.000001,息,2380.00,2615.00,2145.00,2377.99
2026-09-16,4763,48.10,45.05,3.050000,息,45.05,49.55,40.55,45.05
2026-09-16,6830,532.00,528.83,3.161725,權,532.00,585.00,476.00,532.00
