date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2018-07-13,1410,24.25,22.85,1.400000,息,22.85,25.10,20.60
2018-07-13,1477,137.50,131.50,6.000000,息,131.50,144.50,118.50
2018-07-13,1614,24.25,23.55,0.696474,息,23.55,25.90,21.20
2018-07-13,1708,28.25,27.25,1.000000,息,27.25,29.95,24.55
2018-07-13,2020,15.80,14.38,1.420000,息,14.40,15.80,12.95
2018-07-13,2105,46.00,44.20,1.800000,息,44.20,48.60,39.80
2018-07-13,2348,45.00,41.40,3.600000,息,41.40,45.50,37.30
2018-07-13,2360,163.50,159.02,4.475399,息,159.00,174.50,143.50
2018-07-13,2419,21.05,19.82,1.225600,息,19.80,21.80,17.85
2018-07-13,2427,10.95,10.70,0.250000,息,10.70,11.75,9.63
2018-07-13,2453,13.95,13.25,0.700000,息,13.25,14.55,11.95
2018-07-13,2493,26.60,24.85,1.750000,息,24.85,27.30,22.40
2018-07-13,2605,15.45,14.85,0.600000,息,14.85,16.30,13.40
2018-07-13,2897,8.37,8.07,0.300000,息,8.07,8.87,7.27
2018-07-13,3596,74.70,72.70,2.000000,息,72.70,79.90,65.50
2018-07-13,3607,25.80,25.00,0.799999,息,25.00,27.50,22.50
2018-07-13,4958,67.70,64.40,3.300000,息,64.40,70.80,58.00
2018-07-13,5538,41.15,38.65,2.500000,息,38.65,42.50,34.80
2018-07-13,6115,45.00,42.00,3.000000,息,42.00,46.20,37.80
2018-07-13,8464,254.50,244.50,10.000000,息,244.50,268.50,220.50
