date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2025-09-04,1203,40.50,39.30,1.200000,息,39.30,43.20,35.40
2025-09-04,1339,47.15,44.15,3.000000,息,44.15,48.55,39.75
2025-09-04,2323,8.76,8.46,0.300000,息,8.46,9.30,7.62
2025-09-04,2493,159.50,140.34,19.157040,權息,140.50,154.00,126.50
2025-09-04,3059,54.20,53.20,1.000000,息,53.20,58.50,47.90
2025-09-04,3605,73.20,72.47,0.720879,息,72.50,79.70,65.30
2025-09-04,4736,141.50,131.50,10.000000,息,131.50,144.50,118.50
2025-09-04,6139,370.50,356.61,13.885191,息,356.50,392.00,321.00
2025-09-04,7722,600.00,598.50,1.500000,息,599.00,658.00,539.00
2025-09-04,9906,70.50,64.00,6.500000,息,64.00,70.40,57.60
