date,stock_id,pre_close,ref_price,value,kind,open_base
2026-01-19,00882,15.46,15.01,0.450000,息,15.01
2026-01-19,00905,18.72,18.47,0.250000,息,18.47
2026-01-19,00911,37.20,36.20,1.000000,息,36.20
2026-01-19,00912,23.13,22.48,0.650000,息,22.48
2026-01-19,00917,31.80,28.30,3.500000,息,28.30
2026-01-19,00927,25.00,24.09,0.910000,息,24.09
2026-01-19,00934,22.37,22.23,0.132000,息,22.23
2026-01-19,00943,14.96,14.89,0.065000,息,14.89
2026-01-19,00944,15.22,15.16,0.054000,息,15.16
2026-01-19,00952,12.49,12.44,0.050000,息,12.44
2026-01-19,00956,12.28,12.02,0.260000,息,12.02
2026-01-19,00960,15.13,14.90,0.225000,息,14.90
2026-01-19,00961,10.23,10.21,0.020000,息,10.21
2026-01-19,00963,11.84,11.79,0.045000,息,11.79
2026-01-19,00964,12.47,12.38,0.088000,息,12.38
2026-01-19,00984A,12.01,11.84,0.168000,息,11.84
