date,stock_id,pre_close,ref_price,value,kind,open_base
2019-08-01,1216,80.80,78.30,2.500000,息,78.30
2019-08-01,1316,15.45,13.56,1.885037,息,13.55
2019-08-01,1470,22.65,22.25,0.400000,息,22.25
2019-08-01,1530,31.05,29.05,2.000000,息,29.05
2019-08-01,1720,33.60,32.10,1.500000,息,32.10
2019-08-01,1724,13.60,13.10,0.500000,息,13.10
2019-08-01,1730,88.40,84.90,3.500000,息,84.90
2019-08-01,2033,9.72,9.52,0.200000,息,9.52
2019-08-01,2115,41.65,38.71,2.935714,權息,38.70
2019-08-01,2228,109.00,104.00,5.000000,息,104.00
2019-08-01,2393,30.05,28.55,1.499781,息,28.55
2019-08-01,2485,22.70,22.20,0.500000,息,22.20
2019-08-01,2849,16.25,15.25,1.000000,息,15.25
2019-08-01,2852,15.05,14.56,0.490000,息,14.55
2019-08-01,3023,133.00,128.52,4.477053,息,128.50
2019-08-01,3046,23.70,23.40,0.300000,息,23.40
2019-08-01,3209,20.00,18.62,1.372549,權息,18.60
2019-08-01,3703,17.40,16.50,0.900000,息,16.50
2019-08-01,4737,50.90,48.90,1.998121,息,48.90
2019-08-01,6177,29.90,28.00,1.898405,權息,28.00
2019-08-01,6230,246.00,241.30,4.700000,息,241.50
2019-08-01,6239,85.60,80.80,4.800000,息,80.80
2019-08-01,6464,110.00,103.45,6.542642,權息,103.50
2019-08-01,6625,49.85,46.04,3.802381,權息,46.05
2019-08-01,8081,99.80,94.80,5.000000,息,94.80
2019-08-01,8114,116.00,109.80,6.200000,息,110.00
