date,stock_id,pre_close,ref_price,value,kind,open_base
2026-06-30,1301,53.20,52.70,0.500000,息,52.70
2026-06-30,1410,25.50,25.30,0.200000,息,25.30
2026-06-30,1521,25.95,25.20,0.750000,息,25.20
2026-06-30,1598,19.35,18.85,0.500000,息,18.85
2026-06-30,1727,88.00,87.85,0.150000,息,87.90
2026-06-30,1731,21.80,20.58,1.220000,息,20.60
2026-06-30,1817,40.15,37.95,2.200000,息,37.95
2026-06-30,2328,48.75,47.85,0.900000,息,47.85
2026-06-30,2397,57.60,55.15,2.450000,息,55.20
2026-06-30,2436,71.50,69.54,1.956716,息,69.50
2026-06-30,2605,29.90,28.90,1.000000,息,28.90
2026-06-30,2882,101.50,98.00,3.500000,息,98.00
2026-06-30,2882A,61.90,59.37,2.526000,息,59.40
2026-06-30,2882B,60.80,58.51,2.280657,息,58.50
2026-06-30,2883,29.65,28.65,1.000000,息,28.65
2026-06-30,2883B,8.27,7.91,0.355000,息,7.91
2026-06-30,3416,166.50,161.40,5.095945,息,161.50
2026-06-30,3714,62.40,61.50,0.900000,息,61.50
2026-06-30,4722,306.50,305.31,1.184076,息,305.50
2026-06-30,6592,64.00,59.22,4.776700,權息,59.20
2026-06-30,6592A,98.00,93.80,4.200000,息,93.80
2026-06-30,6592B,98.10,93.60,4.500000,息,93.60
2026-06-30,6835,35.15,34.14,1.006755,息,34.15
2026-06-30,7711,324.00,315.01,8.987093,息,315.00
2026-06-30,8039,137.50,135.50,1.993351,息,135.50
2026-06-30,9931,35.10,33.30,1.800000,息,33.30
