date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down
2025-06-27,1521,26.15,25.15,1.000000,息,25.15,27.65,22.65
2025-06-27,2032,14.15,13.77,0.375000,息,13.75,15.10,12.40
2025-06-27,2328,41.30,40.20,1.100000,息,40.20,44.20,36.20
2025-06-27,2850,103.00,95.85,7.150000,息,95.90,105.00,86.30
2025-06-27,2851,25.30,23.40,1.900000,息,23.40,25.70,21.10
2025-06-27,3040,63.50,62.50,1.000000,息,62.50,68.70,56.30
2025-06-27,3669,33.90,32.20,1.700000,息,32.20,35.40,29.00
2025-06-27,4555,36.00,35.50,0.500000,息,35.50,39.05,31.95
2025-06-27,4755,115.50,112.00,3.500000,息,112.00,123.00,101.00
2025-06-27,6414,304.50,292.30,12.200000,息,292.50,321.50,263.50
2025-06-27,6477,29.55,29.25,0.300000,息,29.25,32.15,26.35
2025-06-27,6672,74.70,71.35,3.350000,息,71.40,78.40,64.30
2025-06-27,6789,230.00,227.00,2.997015,息,227.00,249.50,204.50
2025-06-27,7631,119.50,118.30,1.200000,息,118.50,130.00,106.50
2025-06-27,8114,296.00,288.23,7.763896,息,288.00,317.00,259.50
2025-06-27,8150,27.90,26.67,1.229962,息,26.65,29.30,24.05
