date,stock_id,pre_close,ref_price,value,kind,open_base,limit_up,limit_down,ex_div_ref
2019-09-02,1583,55.10,52.10,3.000000,息,52.10,57.30,46.90,52.10
2019-09-02,2901,23.10,22.71,0.386695,息,22.70,24.95,20.45,22.71
2019-09-02,2905,18.25,17.75,0.500000,息,17.75,19.50,16.00,17.75
2019-09-02,6409,705.00,651.42,53.571429,權息,651.00,716.00,587.00,651.42
2019-09-02,8429,13.90,13.53,0.360177,權息,13.55,14.85,12.20,13.53
2019-09-02,8488,17.85,17.35,0.500000,息,17.35,19.05,15.65,17.35
2019-09-02,9105,2.37,2.30,0.060576,息,2.30,2.53,2.07,2.30
