r,eq_sha,部位,dn_觸發,dn_成交,dn_到出場都成交不了,up_觸發,up_成交,up_到出場都成交不了,dn_現金不足_近似
93,3a069ddb4ee6c36569a9a3224f2fb91779102eb6adaf8d9427224bcd027d48af,138,89,89,0,74,74,0,68
94,d0119f358bf67718ac075b0ee5d318d07b5b50d7dbb5e87ec56ac247701d1fd1,138,84,84,0,72,72,0,71
95,8ab9e441a21d22a272b130f1f9051cf7ab144a3106c94a55c87067d128cf5d57,138,83,83,0,69,69,0,71
96,d795c3030ad35d69fb567ea5ae93df548d203e7808594aa5496edcf15506c8b4,138,78,78,0,74,74,0,65
97,c2dc654d7dda53272073621d2e7bfdc30031ba398063f9536665c4912df8a128,138,75,75,0,83,83,0,59
98,e32bb899db0af1fa6184f7ff253e4831ca77a7677772dcfb45eb3c3af13c6c7e,138,80,80,0,74,74,0,68
99,87ab884fa03d8196b4a1f991c7d2d14a761bee763417e35897b0e7458fb956e5,138,82,82,0,73,73,0,68
100,04b71f8640ccc72228c9308f165403592e74ea6bb8ee79b228d8255ee55db9e5,138,84,84,0,72,72,0,70
101,14a24e612db344cc10987d903a323ecd268bad8c8e991b2c9f1bca9128f9a4ab,138,79,79,0,76,76,0,66
102,564d1cf70c4d7addfa45855d6d41e9b84577c540ba2cee9a33849ffc75d77ff5,138,80,80,0,69,69,0,68
103,37f684644300c85f044bcebd7e3c7c5a6f503bf7f2855ab969dcd6d853992ebb,138,79,79,0,74,74,0,68
104,88acab38d5b236e50bd27929e43c389a77b46795550188f20fcb7c10d285e3df,138,83,83,0,72,72,0,73
105,0f17ce9e31c3a6e57fa8a25442b01ebeeb64098f1cbbe488630422131724fdee,138,81,81,0,77,77,0,59
106,188d1590c292a4f7836257214d58ee7948446397ba1eead9a539a46412a2406c,138,82,82,0,60,60,0,68
107,ba3cd81a153e22c18a20c38ea797bb61110325cd38b91dc7b279afb2f4062c6c,138,83,83,0,77,77,0,67
108,953f4b069cf40b42773d750a6af3c8bda75ac57209a5160382b5bf81c69c774f,138,90,90,0,67,67,0,81
109,c9e35f4adac9f79947baced0eb7b688b5e4803f193af380986fedc77a1578f81,138,87,87,0,75,75,0,75
110,c767c46e03a3b0e219332abc94b8594934389fb37e6248224290f88518e19817,138,88,88,0,68,68,0,74
111,fe5c6f113ab3182bbae18397c4a6e4d271bc24ea263c69d0eea88e882bd8c99c,138,90,90,0,68,68,0,79
112,e521a390af1bee2fce236d9ba1bf67510783fddd365d0092ff1ba301672d789d,138,89,89,0,70,70,0,74
113,0f696ba4bb6ee0c7f86f954597a21a9c4cb946f46d62ab21e34b65119ef3b7a8,138,79,79,0,67,67,0,63
114,639cfa91770b761406cf640baeab7db06e69e28cd1c4e18ab678b4445ae44e92,138,71,71,0,77,77,0,62
115,0019012bb3475dfa36ff1345cdfb31d7a6400bd57d9e34e76164d8f7854bf010,138,86,86,0,74,74,0,71
116,103a7fddf365e45d30ea04afce5d11ff8ae9471667418ec891a5387adec678c5,138,85,85,0,65,65,0,72
117,6eede30af889f0f7155af350379185160240acff01cfd85d9c87520c00a03614,138,91,91,0,73,73,0,72
118,f1c1129551780792067c9d73fab66bc0119c01ca9cbd69d8ce62d94d19d4278d,138,87,87,0,71,71,0,75
119,6041b91782ca66fccdffba4150419b56d5dbd56425777d086f7b547e20e82c47,138,85,85,0,72,72,0,70
120,f57cef433195cf5c4bc97130fb1ebf978f10d804299afa3ced888999fa4fab32,138,84,84,0,79,79,0,65
121,723c18fa4f754d172abc614b034469d6e30a5336af01e060f1c5a34755ab1fc7,138,80,80,0,70,70,0,64
122,459291e1e8dec87c2e34ae4ef83a118764cc5dfe918a436bf7e77c5eefb21d10,138,77,77,0,85,85,0,60
123,3a8810be7db56e259ebd215031ebf78d772fb9f535fd49ff61f25bb8a786364c,138,82,82,0,71,71,0,64
124,011738dcb8c22f51544a8db78e04db0b2781fff3264961555830454d79e19df6,138,79,79,0,76,76,0,56
125,a10d19cd8be288fa1d8212221ad982c5e1a6da03e4428eecc45ddb9daea4ab1f,138,85,85,0,79,79,0,73
126,2ea1acfac94e702e20b09e14eb0c89f3461f2357554d3ef7194a3c4742624596,138,82,82,0,74,74,0,64
127,57e2e83aa8e097bb12d20c0e7ef0e54f44cc91895ba486397f0c66d5567de266,138,79,79,0,75,75,0,64
128,4768d3f0471d7613e23788327010378e2189aa43955a11aa8f84468fdb31b728,138,88,88,0,68,68,0,77
129,037f23ce5ade3703e6775ef7b2e36a43bef5fcf6724db7dadb24d21cb212ce87,138,84,84,0,77,77,0,72
130,d7f2b961bfcebe43179bb2b70e6837099245ffae7268c779d5d1da72bcd47d57,138,84,84,0,72,72,0,71
131,29b27baaa8071730e7c86c12864154b72c8cb45c91cedb3417383988db64c392,138,81,81,0,68,68,0,63
132,d338a7bb12317e71466cdcc0741b5175bfb715180e523a47dabc7580eed2b059,138,90,90,0,68,68,0,69
133,63bf5ea1c89b70b7d8248036f3f0f06790db8971f4d94412bcb3e3f38611c920,138,80,80,0,80,80,0,70
134,7786c39e9092c56cb32df38e45aa1086e92fb89a6ee32a6c86ee1b81dda251cd,138,81,81,0,73,73,0,61
135,8794f26b9ec597cfd3604eb076ef4ab41190247804362fd4ee9fc1afa8d2562f,138,86,86,0,70,70,0,70
136,35f636ea836329ed5c7a77a7a3b189a11f034ac565b04f36c3b6b7e50e34b67c,138,86,86,0,67,67,0,69
137,34d0b28337e94f99817ed944f7a38e741efc42be0c198db4435ee84027246729,138,75,75,0,75,75,0,63
138,099da31a5e4d9bd3ac1511ef526b865c87671924f95ae552cc2d7a7a73135232,138,82,82,0,68,68,0,67
139,62c7d6b01d564619bc7877e2609d8c6f6e1f3541cbfe9a59dccc429f7d36cbb7,138,84,84,0,71,71,0,67
140,a36d8daa6797fe35657bc41d499849fa02e110a90a5c8e0679f9501b86b67206,138,76,76,0,82,82,0,61
141,307d17af862bce00893c40c4464deb324d6b386fa479cf53aa8a86341d29c009,138,79,79,0,81,81,0,68
142,00d3dbfb37d5cceae123b94efa442c85d51ac6e5347de818e62dd686681e7a44,138,87,87,0,66,66,0,76
143,79368b7d3dd31c93c0b55165c4a92454a6ed3e1d3662bed2b990d1b1f4b39dcf,138,85,85,0,76,76,0,69
