arm,格,判定,cagr,mdd,ratio,label,deep_note,d_cagr_med,d_mdd_med,expo,x50_cagr,x50_mdd,x50_label,dd_單日暴跌型,dd_延續下跌型,dd_混合型,ddlog_單日暴跌型,ddlog_延續下跌型,ddlog_混合型,dd_n,x_new_n_med,x_new_n_p10,x_new_n_p90,x_tr_buys_med,x_tr_buys_p10,x_tr_buys_p90,x_tr_short_med,x_tr_short_p10,x_tr_short_p90,x_tr_blocked_days_med,x_tr_blocked_days_p10,x_tr_blocked_days_p90,x_tr_unbought_med,x_tr_unbought_p10,x_tr_unbought_p90,x_add_n_med,x_add_n_p10,x_add_n_p90,x_add_short_med,x_add_short_p10,x_add_short_p90,x_add_trig_med,x_add_trig_p10,x_add_trig_p90,x_add_blocked_days_med,x_add_blocked_days_p10,x_add_blocked_days_p90,x_trim_n_med,x_trim_n_p10,x_trim_n_p90,x_trim_blocked_days_med,x_trim_blocked_days_p10,x_trim_blocked_days_p90,x_mult_n_med,x_mult_n_p10,x_mult_n_p90,x_mult_short_med,x_mult_short_p10,x_mult_short_p90,x_rt_sell_events_med,x_rt_sell_events_p10,x_rt_sell_events_p90,x_rt_sell_n_med,x_rt_sell_n_p10,x_rt_sell_n_p90,x_rt_refill_events_med,x_rt_refill_events_p10,x_rt_refill_events_p90,x_rt_refill_n_med,x_rt_refill_n_p10,x_rt_refill_n_p90,x_rt_refill_short_med,x_rt_refill_short_p10,x_rt_refill_short_p90,x_rt_refill_fill_min_med,x_rt_refill_fill_min_p10,x_rt_refill_fill_min_p90,x_rt_blocked_days_med,x_rt_blocked_days_p10,x_rt_blocked_days_p90,x_cost_sell_med,x_cost_sell_p10,x_cost_sell_p90,x_buy_amt_med,x_buy_amt_p10,x_buy_amt_p90,x_mbar_nominal_med,x_mbar_nominal_p10,x_mbar_nominal_p90,x_mbar_actual_med,x_mbar_actual_p10,x_mbar_actual_p90,x_open_at_end_med,x_open_at_end_p10,x_open_at_end_p90,x_nx_n_med,x_nx_n_p10,x_nx_n_p90,x_nx_amt_med,x_nx_amt_p10,x_nx_amt_p90,x_nx_full_days_med,x_nx_full_days_p10,x_nx_full_days_p90,x_nx_empty_days_med,x_nx_empty_days_p10,x_nx_empty_days_p90,x_nx_blocked_med,x_nx_blocked_p10,x_nx_blocked_p90,x_nx_pending_end_med,x_nx_pending_end_p10,x_nx_pending_end_p90,x_nx_pending_amt_end_med,x_nx_pending_amt_end_p10,x_nx_pending_amt_end_p90,x_nx_over_med,x_nx_over_p10,x_nx_over_p90,nxw_n_med,nxw_n_p10,nxw_n_p90,nxw_med_med,nxw_med_p10,nxw_med_p90,nxw_p90_med,nxw_p90_p10,nxw_p90_p90,nxw_mean_med,nxw_mean_p10,nxw_mean_p90,nxw_max_med,nxw_max_p10,nxw_max_p90,nxw_le20_med,nxw_le20_p10,nxw_le20_p90,ctrl,ctrl_cagr,ctrl_mdd,ctrl_ratio,ctrl_class,pair_d_cagr_med,pair_d_mdd_med,結構上近乎不可得,vs_Ci_d_cagr_med,vs_Ci_d_mdd_med
base,基準臂（加減碼全關）,False,0.27888696579884664,-0.42504991636109396,0.65612756305526,,,0.0,0.0,0.8723964328444616,0.19346957960327316,-0.282176518793849,不合格,1.0,0.0,4.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By,乙一 2-B ⓓ 個股收盤 ≤ 進場 −10% ⇒ 加 0.5 slot,True,0.266878071155657,-0.42327181626244503,0.63051226399204,另列,,-0.005108832869568092,-0.0004350369227059392,0.8776178322063364,0.1927896335954733,-0.2821765187938491,不合格,1.0,0.0,4.0,0.0,0.0,4.0,4.0,138.0,137.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,16.0,69.5,64.0,75.0,82.0,78.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4254142283455735,1.4938587381340966,3.6579697493246335,1.0,1.0,1.0,0.9513512855900113,0.9404269215412453,0.9605122845785102,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m̄ 逐種子配對,0.28051723529601447,-0.430926730177711,0.6509627174446366,丙',-0.0075375833277017135,0.003335691557874748,False,,
Ci,乙二 2-C ⓘ 個股收盤 ≥ 進場 +15% ⇒ 賣一半、賣得現金買下一檔（待買可到第 9、10 槽）,True,0.11257997885507987,-0.2964777658760186,0.37972486241062237,不合格,,-0.16819341430139367,0.12930516185099902,0.5549446535064892,0.11830766455097885,-0.222603923890273,不合格,0.0,0.0,2.0,0.0,0.0,2.0,2.0,76.0,70.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,72.0,86.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.030792168098734467,0.02507029440708291,0.039162896668242506,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9999989502062192,1.0,0.0,0.0,0.0,76.0,70.0,83.0,6.0100761601620025,4.8964702769678725,7.589674258433126,8.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.21041862925549693,0.04661553007183939,0.4435049956132656,40.0,34.0,47.0,76.0,70.0,83.0,14.0,12.0,15.0,35.30000000000002,23.470000000000002,48.410000000000004,17.48147018453561,14.708827404479578,20.833333333333332,102.0,102.0,102.0,62.0,55.0,68.1,ē 逐種子配對,0.17720638618099072,-0.27399295176159044,0.6467552725049049,丙',-0.06244594766653222,-0.013496022595943208,,,
Ci8,乙三描述 (丙)：同乙二但待買只能用 8 槽（seq3 原樣）,False,0.12541781596205803,-0.3022417986411732,0.4149585415581658,,,-0.15227517563321602,0.11817831958978062,0.4922056608292824,0.10408894383967238,-0.19362504282191334,不合格,0.0,0.0,2.0,0.0,0.0,2.0,2.0,67.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,68.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03166302596132632,0.025956874271316197,0.039484719313016906,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9997189936664479,1.0,0.0,0.0,0.0,71.0,65.0,77.0,6.129578708341887,5.06439718082152,7.528042391540293,54.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.29261164760678016,0.1110503064724477,0.5700187494597142,,,,71.0,65.0,77.0,58.5,50.45,71.0,100.1,96.58,103.22,56.993589743589745,52.00556831228473,63.17678800073166,120.0,120.0,125.1,17.0,13.0,20.099999999999994,,,,,,,,,0.013720440918766674,-0.00807633015794973
Ci0,乙三描述：賣半、賣得現金閒置（＝ 事後描述臂 D2 待買併池）,False,0.17956812641614206,-0.3719865057344806,0.4827275281440332,,,-0.09990999123150357,0.05219183336589581,0.7156310350535938,0.1504095734905615,-0.24069156651827478,不合格,1.0,0.0,3.0,0.0,0.0,3.0,4.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,68.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05607679512263815,0.04319879719958286,0.07681986213098062,0.0,0.0,0.0,1.0,1.0,1.0,0.9993019552586342,0.9982009021518005,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060369228305439004,-0.07494567545981096
CiD1,事後描述臂 D1：同乙二但一般新部位優先（待買排在當天新訊號之後）,False,0.1445341383308577,-0.32293600052529514,0.4475627929241557,,,-0.13893381779665148,0.0994762369719952,0.6048871460797334,0.12461464085403884,-0.21216922069064692,不合格,0.0,0.0,2.0,0.0,0.0,3.0,3.0,89.0,83.9,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,84.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0405452913277439,0.03303167407782051,0.049016722910769216,0.0,0.0,0.0,1.0,1.0,1.0,0.9632580536347982,0.9326160963969619,0.9913990987119121,0.0,0.0,0.0,82.0,77.9,87.0,7.144145448852079,5.841626438251058,8.542785026069177,60.0,36.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,13.0,1.1036137970494593,0.34588175560337553,1.6683611872808692,74.0,74.0,85.0,82.0,77.9,87.0,119.5,58.7,199.05,198.85,107.40000000000002,267.18,122.05431627196333,57.95789046653144,186.28048780487805,241.0,134.9,347.0,5.0,2.0,24.099999999999994,,,,,,,,,0.030259585260396293,-0.02838083051798751
