date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,halt_date,derived_from
2024-09-09,6763,491,49.1,面額變更（股數推導）,,,,shares_ratio
2024-09-09,8932,169.5,84.75,面額變更（股數推導）,,,,shares_ratio
