coin,rows,first,last,n200_w0_date,n200_days,n200_cagr_rule,n200_mdd_rule,n200_cagr_bh,n200_mdd_bh,n200_d_cagr,n200_d_mdd,n200_pass,n200_strict_cagr,n200_strict_mdd,n200_expo,n200_trades,n200_nseg,n200_hold_len_med,n200_cash_len_med,L,ci_cagr_lo,ci_cagr_hi,ci_mdd_lo,ci_mdd_hi,ci_mdd2_lo,ci_mdd2_hi,exit,exit_why,placebo_status,plc_cagr_pctl,plc_mdd_pctl,be_cagr,be_mdd,btc_cagr_samewin,btc_mdd_samewin,n50_w0_date,n50_days,n50_cagr_rule,n50_mdd_rule,n50_cagr_bh,n50_mdd_bh,n50_d_cagr,n50_d_mdd,n50_pass,n50_strict_cagr,n50_strict_mdd,n50_expo,n50_trades,n50_nseg,n50_hold_len_med,n50_cash_len_med
BTC,3321,2017-08-17,2026-09-19,2018-03-04,3121,0.2675985954447031,-0.6403817163862107,0.25691738221494775,-0.7662925431645936,0.010681213229755349,-0.12591082677838294,True,True,True,0.5209868631848766,65,65,6.0,3.5,5,-0.45655228712150736,0.3462374974727054,-0.4058695636991895,0.0659777051249701,-0.3848096813642148,0.0772201719954546,出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,可得,81.8,77.5,0.004220777078560943,0.045518727115172256,0.25691738221494775,-0.7662925431645936,2017-10-05,3271,0.630619071604871,-0.6373292590998967,0.3886960135691915,-0.8318705353076484,0.24192305803567948,-0.19454127620775175,True,True,True,0.528584530724549,177,177,4.0,6.5
ETH,3321,2017-08-17,2026-09-19,2018-03-04,3121,0.3224171248939738,-0.736553551727065,0.13886656422203858,-0.9014402711098559,0.1835505606719352,-0.16488671938279087,True,True,True,0.5056071771867992,55,55,6.0,8.0,4,-0.33639179716712997,0.6109948335265998,-0.3809858524416015,0.02150242164506414,-0.3782365993871933,0.037528493049635576,出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,可得,86.8,79.7,0.04797233202457095,0.10511553463538525,0.25691738221494775,-0.7662925431645936,2017-10-05,3271,0.5927156883568168,-0.6442417614104836,0.27695530748557906,-0.9396550481981527,0.3157603808712377,-0.2954132867876691,True,True,True,0.5145215530418832,173,174,4.0,5.0
BNB,3240,2017-11-06,2026-09-19,2018-05-24,3040,0.45655614244167153,-0.7544697685532373,0.6304557097353083,-0.7606666563244961,-0.17389956729363676,-0.006196887771258819,False,False,True,0.5598684210526316,109,109,7.0,4.0,6,-0.8049823251001079,0.28634025783721495,-0.2735561097497531,0.11977399029885658,-0.26902190330426257,0.12852663992772453,判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,可得,69.8,40.300000000000004,,0.0037106024947547445,0.3298582288249161,-0.7662925431645932,2017-12-25,3190,0.9489701567693762,-0.7017379000781467,0.7265788720924671,-0.8001769911504426,0.22239128467690916,-0.09843909107229587,True,True,True,0.5429467084639499,209,209,4.0,3.5
SOL,2231,2020-08-11,2026-09-19,2021-02-26,2031,0.8884240079069972,-0.6601455294444698,0.4589386056897631,-0.9626992725584274,0.4294854022172341,-0.30255374311395755,True,True,True,0.49729197439684886,43,43,6.5,5.0,2,-0.7057436969879968,1.3496235354669515,-0.3891603994199254,0.013744656847066342,-0.39924533307509935,0.010616217221917223,出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,可得,93.2,93.2,0.06752357982109414,0.16801630470783435,0.1065294088331934,-0.7662925431645935,2020-09-29,2181,1.2795438686902871,-0.6912273706851089,0.8360082488285341,-0.9626992725584275,0.44353561986175305,-0.2714719018733186,True,True,True,0.49839523154516274,125,126,4.0,5.0
XRP,3061,2018-05-04,2026-09-19,2018-11-19,2861,-0.03284802426439515,-0.9134773908749424,0.14675903474140162,-0.8323958401465106,-0.17960705900579677,0.08108155072843182,False,False,False,0.4397063963649074,95,96,4.0,5.5,4,-0.8389161510950309,0.23576467983375854,-0.18221262684804512,0.13081733143201624,-0.16948033723923378,0.12378476673590019,判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,可得,30.2,5.2,,,0.43083818432802734,-0.7662925431645937,2018-06-22,3011,0.1440882909477419,-0.8119084745339491,0.13905989618977688,-0.8323958401465106,0.005028394757965016,-0.02048736561256148,True,True,True,0.44470275655928265,217,218,4.0,3.0
DOGE,2634,2019-07-05,2026-09-19,2020-01-20,2434,0.6906680453258736,-0.8994896561983394,0.7186380116125153,-0.9233133281145807,-0.027969966286641723,-0.02382367191624124,False,False,True,0.44042728019720623,68,69,3.5,4.0,5,-1.0853976537183037,0.7272625459141596,-0.19139018566871127,0.08700563181355149,-0.20638317423189004,0.09424175766217953,判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,可得,80.60000000000001,24.099999999999998,,0.01827546586522527,0.3997120282664388,-0.7662925431645938,2019-08-23,2584,1.0031185656437875,-0.852664721292877,0.6384914524861931,-0.9233133281145806,0.36462711315759444,-0.0706486068217036,True,True,True,0.43343653250773995,133,134,5.0,7.0
