ci,n,diff_pp,lo_pp,hi_pp,pos,detectable
bootstrap,200,-0.437877932462915,-0.5547963741130012,-0.32294003494162105,80,True
常態近似,200,-0.437877932462915,-0.5540821876470576,-0.3216736772787724,80,True
