date,stocks_traded,all_traded,collapse
2015-01-05,1521,1569,False
2015-01-06,1525,1572,False
2015-01-07,1524,1573,False
2015-01-08,1522,1571,False
2015-01-09,1525,1575,False
2015-01-12,1526,1578,False
2015-01-13,1528,1576,False
2015-01-14,1521,1569,False
2015-01-15,1522,1569,False
2015-01-16,1518,1567,False
2015-01-19,1519,1566,False
2015-01-20,1521,1569,False
2015-01-21,1524,1572,False
2015-01-22,1523,1573,False
2015-01-23,1522,1571,False
2015-01-26,1518,1567,False
2015-01-27,1522,1573,False
2015-01-28,1522,1571,False
2015-01-29,1528,1578,False
2015-01-30,1523,1572,False
2015-02-02,1516,1563,False
2015-02-03,1524,1573,False
2015-02-04,1528,1577,False
2015-02-05,1525,1575,False
2015-02-06,1521,1571,False
2015-02-09,1522,1571,False
2015-02-10,1528,1576,False
2015-02-11,1528,1576,False
2015-02-12,1519,1567,False
2015-02-13,1528,1578,False
2015-02-24,1530,1579,False
2015-02-25,1528,1579,False
2015-02-26,1524,1572,False
2015-03-02,1521,1569,False
2015-03-03,1527,1573,False
2015-03-04,1520,1566,False
2015-03-05,1529,1576,False
2015-03-06,1526,1576,False
2015-03-09,1526,1576,False
2015-03-10,1528,1576,False
2015-03-11,1531,1581,False
2015-03-12,1526,1576,False
2015-03-13,1532,1581,False
2015-03-16,1530,1578,False
2015-03-17,1524,1575,False
2015-03-18,1529,1579,False
2015-03-19,1532,1584,False
2015-03-20,1531,1578,False
2015-03-23,1528,1579,False
2015-03-24,1534,1584,False
2015-03-25,1536,1585,False
2015-03-26,1533,1583,False
2015-03-27,1536,1589,False
2015-03-30,1535,1584,False
2015-03-31,1538,1587,False
2015-04-01,1531,1580,False
2015-04-02,1537,1590,False
2015-04-07,1535,1584,False
2015-04-08,1539,1587,False
2015-04-09,1541,1590,False
2015-04-10,1533,1584,False
2015-04-13,1538,1588,False
2015-04-14,1537,1588,False
2015-04-15,1540,1593,False
2015-04-16,1538,1591,False
2015-04-17,1538,1588,False
2015-04-20,1540,1593,False
2015-04-21,1541,1591,False
2015-04-22,1536,1587,False
2015-04-23,1538,1591,False
2015-04-24,1539,1592,False
2015-04-27,1534,1587,False
2015-04-28,1538,1592,False
2015-04-29,1537,1589,False
2015-04-30,1541,1593,False
2015-05-04,1536,1586,False
2015-05-05,1537,1589,False
2015-05-06,1540,1592,False
2015-05-07,1539,1591,False
2015-05-08,1540,1591,False
2015-05-11,1543,1595,False
2015-05-12,1543,1592,False
2015-05-13,1539,1590,False
2015-05-14,1533,1583,False
2015-05-15,1539,1590,False
2015-05-18,1535,1587,False
2015-05-19,1540,1594,False
2015-05-20,1543,1594,False
2015-05-21,1534,1585,False
2015-05-22,1537,1588,False
2015-05-25,1536,1589,False
2015-05-26,1540,1592,False
2015-05-27,1541,1594,False
2015-05-28,1532,1583,False
2015-05-29,1542,1595,False
2015-06-01,1533,1584,False
2015-06-02,1536,1583,False
2015-06-03,1537,1591,False
2015-06-04,1543,1596,False
2015-06-05,1544,1596,False
2015-06-08,1537,1591,False
2015-06-09,1546,1602,False
2015-06-10,1545,1601,False
2015-06-11,1540,1595,False
2015-06-12,1540,1591,False
2015-06-15,1538,1589,False
2015-06-16,1539,1592,False
2015-06-17,1544,1597,False
2015-06-18,1536,1583,False
2015-06-22,1544,1591,False
2015-06-23,1547,1600,False
2015-06-24,1541,1591,False
2015-06-25,1540,1592,False
2015-06-26,1533,1586,False
2015-06-29,1528,1579,False
2015-06-30,1536,1586,False
2015-07-01,1537,1590,False
2015-07-02,1537,1588,False
2015-07-03,1542,1593,False
2015-07-06,1536,1589,False
2015-07-07,1542,1593,False
2015-07-08,1538,1592,False
2015-07-09,1537,1591,False
2015-07-13,1543,1597,False
2015-07-14,1544,1598,False
2015-07-15,1539,1590,False
2015-07-16,1547,1597,False
2015-07-17,1537,1589,False
2015-07-20,1539,1591,False
2015-07-21,1534,1584,False
2015-07-22,1541,1593,False
2015-07-23,1542,1595,False
2015-07-24,1533,1584,False
2015-07-27,1537,1591,False
2015-07-28,1541,1593,False
2015-07-29,1532,1585,False
2015-07-30,1544,1596,False
2015-07-31,1532,1580,False
2015-08-03,1535,1590,False
2015-08-04,1539,1591,False
2015-08-05,1537,1591,False
2015-08-06,1530,1580,False
2015-08-07,1525,1576,False
2015-08-10,1531,1581,False
2015-08-11,1533,1586,False
2015-08-12,1530,1583,False
2015-08-13,1532,1583,False
2015-08-14,1536,1585,False
2015-08-17,1537,1588,False
2015-08-18,1538,1587,False
2015-08-19,1534,1584,False
2015-08-20,1534,1586,False
2015-08-21,1534,1588,False
2015-08-24,1543,1596,False
2015-08-25,1542,1595,False
2015-08-26,1540,1592,False
2015-08-27,1541,1593,False
2015-08-28,1537,1588,False
2015-08-31,1539,1590,False
2015-09-01,1537,1588,False
2015-09-02,1538,1588,False
2015-09-03,1541,1590,False
2015-09-04,1534,1582,False
2015-09-07,1522,1575,False
2015-09-08,1528,1581,False
2015-09-09,1548,1602,False
2015-09-10,1532,1587,False
2015-09-11,1537,1591,False
2015-09-14,1539,1593,False
2015-09-15,1529,1585,False
2015-09-16,1534,1588,False
2015-09-17,1536,1591,False
2015-09-18,1530,1581,False
