stock_id,date,market,prev_close,open,close,gap_open,ret_close
1268,2026-09-07,tpex,182.0,175.0,171.0,-0.038461538461538436,-0.06043956043956045
1597,2018-07-30,tpex,165.5,133.0,136.0,-0.1963746223564955,-0.17824773413897277
1597,2019-08-26,tpex,93.5,82.9,82.0,-0.11336898395721917,-0.12299465240641716
1597,2020-08-24,tpex,73.0,72.5,71.8,-0.006849315068493178,-0.016438356164383605
1752,2018-08-23,tpex,35.0,33.5,33.6,-0.042857142857142816,-0.039999999999999925
1752,2019-07-18,tpex,30.7,29.6,29.85,-0.03583061889250805,-0.027687296416938012
1752,2020-07-07,tpex,54.1,52.6,47.5,-0.027726432532347522,-0.12199630314232901
1752,2021-08-24,tpex,37.9,37.0,36.5,-0.0237467018469657,-0.03693931398416883
1815,2026-09-09,tpex,135.0,134.0,126.0,-0.007407407407407418,-0.06666666666666665
2233,2018-09-28,tpex,105.5,84.5,84.1,-0.19905213270142175,-0.2028436018957347
2233,2019-08-22,tpex,71.1,68.0,67.8,-0.043600562587904235,-0.04641350210970463
2743,2026-09-08,tpex,59.3,56.5,54.4,-0.04721753794266437,-0.08263069139966273
3092,2018-07-24,tpex,47.8,43.5,43.75,-0.08995815899581583,-0.08472803347280333
3092,2019-07-24,tpex,57.2,50.4,49.5,-0.11888111888111896,-0.1346153846153847
3092,2020-08-31,tpex,42.55,37.2,37.3,-0.12573443008225604,-0.1233842538190364
3563,2018-06-27,tpex,434.0,425.0,425.0,-0.020737327188940058,-0.020737327188940058
3652,2018-07-12,tpex,20.9,20.75,20.2,-0.0071770334928229484,-0.03349282296650713
3652,2019-07-19,tpex,16.75,16.1,16.3,-0.03880597014925369,-0.02686567164179099
3652,2020-07-17,tpex,22.0,22.8,24.0,0.036363636363636376,0.09090909090909083
3652,2021-09-13,tpex,26.85,26.85,26.2,0.0,-0.02420856610800748
3652,2021-10-29,tpex,27.2,25.75,25.6,-0.053308823529411686,-0.05882352941176461
3652,2022-06-30,tpex,21.2,20.85,20.3,-0.01650943396226401,-0.04245283018867918
4160,2026-09-09,tpex,39.8,38.55,39.15,-0.031407035175879394,-0.01633165829145722
4549,2026-09-08,tpex,103.5,101.0,100.5,-0.024154589371980673,-0.02898550724637683
4736,2018-08-09,tpex,168.5,165.0,168.0,-0.020771513353115778,-0.0029673590504450953
4736,2019-07-11,tpex,151.0,143.5,141.5,-0.04966887417218546,-0.0629139072847682
4736,2020-08-10,tpex,243.5,243.0,233.5,-0.002053388090349051,-0.04106776180698157
4736,2021-09-16,tpex,205.5,197.0,195.5,-0.041362530413625254,-0.048661800486618056
4736,2022-08-04,tpex,196.5,190.0,183.5,-0.0330788804071247,-0.0661577608142494
4736,2023-09-04,tpex,172.5,153.5,154.5,-0.11014492753623184,-0.10434782608695647
