sid,mk,date,prev,close,change,implied_div,adj_near
00858,tpex,2024-07-26,33.73,31.07,-0.96,1.7,False
00888,tpex,2024-07-26,17.17,16.61,-0.43,0.13,False
00950B,tpex,2024-11-01,15.06,14.93,-0.05,0.08,False
00959B,tpex,2024-11-01,9.9,9.81,-0.04,0.05,False
020035,tpex,2022-11-30,5.52,5.49,0.0,0.03,False
020035,tpex,2022-12-26,5.35,5.3,0.01,0.06,False
020035,tpex,2022-12-28,5.3,5.18,-0.14,-0.02,False
020035,tpex,2023-01-03,5.2,5.35,0.13,-0.02,False
020035,tpex,2023-04-28,5.82,6.0,0.15,-0.03,False
020035,tpex,2023-05-23,6.05,6.13,0.06,-0.02,False
020035,tpex,2023-08-10,6.37,6.22,-0.1,0.05,False
020035,tpex,2023-08-25,6.23,6.2,-0.06,-0.03,False
020035,tpex,2024-06-04,7.65,7.63,-0.1,-0.08,False
020035,tpex,2024-06-28,7.93,7.98,0.14,0.09,False
020035,tpex,2024-07-08,8.26,8.23,-0.06,-0.03,False
020035,tpex,2024-08-19,7.75,7.98,0.14,-0.09,False
020035,tpex,2024-08-28,8.11,8.04,-0.04,0.03,False
020035,tpex,2024-09-04,8.05,7.86,-0.21,-0.02,False
020035,tpex,2024-09-06,7.86,7.76,0.0,0.1,False
020035,tpex,2024-10-04,7.56,7.5,0.22,0.28,False
020035,tpex,2024-11-28,6.85,6.63,-0.13,0.09,False
020035,tpex,2024-12-05,6.74,7.11,0.12,-0.25,False
020035,tpex,2024-12-23,6.99,6.89,-0.01,0.09,False
020035,tpex,2024-12-31,7.08,7.05,0.04,0.07,False
020035,tpex,2025-01-06,7.05,7.02,0.0,0.03,False
020035,tpex,2025-01-15,6.71,6.67,-0.13,-0.09,False
020035,tpex,2025-02-03,6.83,6.47,-0.38,-0.02,False
020035,tpex,2025-02-10,6.57,6.66,-0.06,-0.15,False
020035,tpex,2025-02-13,6.69,6.71,0.05,0.03,False
020035,tpex,2025-02-26,7.08,7.05,0.0,0.03,False
020035,tpex,2025-03-03,7.05,6.78,-0.19,0.08,False
020035,tpex,2025-03-26,6.82,6.82,0.04,0.04,False
020035,tpex,2025-03-31,6.82,6.27,-0.35,0.2,False
020035,tpex,2025-04-25,5.92,5.98,0.15,0.09,False
020035,tpex,2025-05-05,6.05,6.03,-0.1,-0.08,False
020035,tpex,2025-05-12,6.06,6.22,0.1,-0.06,False
020035,tpex,2025-05-20,6.37,6.21,-0.05,0.11,False
020035,tpex,2025-05-28,6.22,6.2,-0.05,-0.03,False
020035,tpex,2025-06-02,6.2,6.08,-0.24,-0.12,False
020035,tpex,2025-06-11,6.08,6.61,0.13,-0.4,False
020035,tpex,2025-06-19,6.45,6.4,-0.08,-0.03,False
020035,tpex,2025-06-25,6.26,6.58,0.09,-0.23,False
020035,tpex,2025-06-30,6.64,6.57,-0.01,0.06,False
020035,tpex,2025-07-14,6.61,6.7,0.03,-0.06,False
020035,tpex,2025-07-28,6.79,6.87,0.0,-0.08,False
020035,tpex,2025-08-05,6.81,6.98,0.1,-0.07,False
020035,tpex,2025-08-08,6.98,7.19,0.0,-0.21,False
020035,tpex,2025-08-19,7.23,7.41,0.02,-0.16,False
020035,tpex,2025-08-25,7.54,7.61,0.13,0.06,False
020035,tpex,2025-09-01,7.8,7.92,0.0,-0.12,False
020035,tpex,2025-09-08,7.92,8.27,0.07,-0.28,False
020035,tpex,2025-09-16,8.34,8.46,0.15,0.03,False
020035,tpex,2025-09-18,8.46,8.7,0.28,0.04,False
020035,tpex,2025-09-23,8.74,8.8,-0.11,-0.17,False
020035,tpex,2025-09-30,8.76,8.59,0.22,0.39,False
020035,tpex,2025-10-02,8.59,8.83,0.17,-0.07,False
020035,tpex,2025-10-13,8.58,8.41,-0.23,-0.06,False
020035,tpex,2025-11-04,8.65,8.59,-0.13,-0.07,False
020035,tpex,2025-11-10,8.22,8.32,-0.04,-0.14,False
020035,tpex,2025-11-13,8.32,8.35,-0.04,-0.07,False
020035,tpex,2025-11-19,8.19,7.81,-0.1,0.28,False
020035,tpex,2025-11-26,7.8,7.77,-0.15,-0.12,False
020035,tpex,2025-12-01,7.77,7.98,-0.01,-0.22,False
020035,tpex,2025-12-05,7.97,7.87,0.05,0.15,False
020035,tpex,2025-12-09,7.87,8.16,0.09,-0.2,False
020035,tpex,2026-01-05,8.45,9.14,0.09,-0.6,False
020035,tpex,2026-01-07,9.14,9.81,0.33,-0.34,False
020035,tpex,2026-04-10,10.33,10.56,0.27,0.04,False
020035,tpex,2026-04-23,11.83,11.64,-0.53,-0.34,False
020035,tpex,2026-05-11,12.2,14.56,0.64,-1.72,False
020035,tpex,2026-05-14,14.56,14.64,0.51,0.43,False
020035,tpex,2026-05-26,13.69,14.5,0.44,-0.37,False
020035,tpex,2026-06-02,14.5,15.2,0.04,-0.66,False
020035,tpex,2026-07-01,13.5,15.55,0.24,-1.81,False
020035,tpex,2026-07-08,15.55,14.97,-0.11,0.47,False
020035,tpex,2026-07-30,15.23,11.6,0.03,3.66,False
020035,tpex,2026-08-04,11.8,12.45,0.24,-0.41,False
020035,tpex,2026-08-06,12.45,12.89,0.18,-0.26,False
020035,tpex,2026-08-19,13.28,12.8,-0.14,0.34,False
1216,twse,2017-07-28,60.5,58.4,0.0,2.1,False
1256,twse,2016-03-17,135.0,131.0,0.0,4.0,False
1256,twse,2022-08-19,247.0,252.0,0.0,-5.0,False
1256,twse,2022-10-18,225.0,222.0,0.0,3.0,False
1256,twse,2022-11-24,228.0,229.5,0.0,-1.5,False
1256,twse,2022-11-30,227.0,243.0,0.0,-16.0,False
1256,twse,2023-05-04,306.0,310.0,0.0,-4.0,False
1256,twse,2023-06-01,318.0,314.0,0.0,4.0,False
1256,twse,2023-08-30,270.0,272.5,0.0,-2.5,False
1256,twse,2023-09-14,270.5,272.5,0.0,-2.0,False
1256,twse,2023-09-21,273.5,270.0,0.0,3.5,False
1256,twse,2023-09-25,270.0,272.0,0.0,-2.0,False
1256,twse,2023-10-02,271.0,272.0,0.0,-1.0,False
1256,twse,2023-10-20,241.5,237.5,0.0,4.0,False
1256,twse,2023-12-20,246.0,249.5,0.0,-3.5,False
1256,twse,2024-01-15,239.0,238.5,0.0,0.5,False
1529,twse,2015-03-13,3.76,3.8,0.0,-0.04,False
1529,twse,2015-08-03,3.6,3.5,0.0,0.1,False
1529,twse,2015-12-09,5.2,4.8,0.0,0.4,False
1529,twse,2016-01-04,4.49,4.6,0.0,-0.11,False
1529,twse,2016-01-15,4.46,4.07,0.0,0.39,False
1529,twse,2016-04-14,2.7,2.53,0.0,0.17,False
1529,twse,2016-04-22,2.4,2.45,0.0,-0.05,False
