sid,mk,date,prev,close,change,implied_div,adj_near
1529,twse,2016-05-05,2.55,2.8,0.0,-0.25,False
1529,twse,2016-05-16,3.05,2.91,0.0,0.14,False
1529,twse,2016-05-23,2.65,2.88,0.0,-0.23,False
1529,twse,2016-05-31,2.8,3.03,0.0,-0.23,False
1529,twse,2016-09-08,4.0,4.15,0.0,-0.15,False
1529,twse,2016-09-12,3.95,4.3,0.0,-0.35,False
1529,twse,2016-10-12,4.0,3.7,0.0,0.3,False
1529,twse,2016-11-30,3.62,3.66,0.0,-0.04,False
1529,twse,2016-12-05,3.66,3.6,0.0,0.06,False
1529,twse,2016-12-22,3.48,3.17,0.0,0.31,False
1529,twse,2016-12-26,3.17,3.24,0.0,-0.07,False
1529,twse,2017-01-05,3.6,3.2,0.0,0.4,False
1529,twse,2017-01-10,3.2,3.37,0.0,-0.17,False
1529,twse,2017-01-18,3.45,3.25,0.0,0.2,False
1529,twse,2017-05-02,3.67,3.48,0.0,0.19,False
1529,twse,2017-06-08,3.3,3.44,0.0,-0.14,False
1529,twse,2017-07-25,3.9,3.8,0.0,0.1,False
1529,twse,2017-08-04,3.51,3.7,0.0,-0.19,False
1529,twse,2018-01-04,3.11,3.16,0.0,-0.05,False
1529,twse,2018-06-04,3.38,3.41,0.0,-0.03,False
1529,twse,2018-07-17,3.15,3.0,0.0,0.15,False
1529,twse,2018-08-14,3.0,2.97,0.0,0.03,False
1529,twse,2018-08-16,2.97,2.88,0.0,0.09,False
1529,twse,2018-08-28,2.9,2.92,0.0,-0.02,False
1529,twse,2018-09-04,2.96,3.07,0.0,-0.11,False
1529,twse,2018-09-07,2.91,3.06,0.0,-0.15,False
1529,twse,2018-09-17,2.94,3.09,0.0,-0.15,False
1529,twse,2018-10-17,2.98,2.96,0.0,0.02,False
1529,twse,2018-10-30,2.57,2.5,0.0,0.07,False
1529,twse,2018-11-01,2.5,2.72,0.0,-0.22,False
1529,twse,2018-11-05,2.72,2.8,0.0,-0.08,False
1529,twse,2018-11-13,2.96,2.93,0.0,0.03,False
1529,twse,2018-11-19,2.7,2.76,0.0,-0.06,False
1529,twse,2018-11-21,2.76,2.52,0.0,0.24,False
1529,twse,2019-01-28,15.5,15.0,0.0,0.5,False
1529,twse,2019-02-15,14.8,15.1,0.0,-0.3,False
1529,twse,2019-02-25,15.0,14.2,0.0,0.8,False
1529,twse,2019-04-01,14.3,14.8,0.0,-0.5,False
1529,twse,2019-04-22,15.65,14.45,0.0,1.2,False
1529,twse,2019-05-15,14.95,15.5,0.0,-0.55,False
1529,twse,2019-06-14,15.25,15.35,0.0,-0.1,False
1597,twse,2020-12-23,86.0,85.7,0.0,0.3,False
1720,twse,2021-03-17,37.05,37.95,0.0,-0.9,False
1727,twse,2016-05-05,13.8,13.55,0.0,0.25,False
1752,twse,2022-01-19,39.55,38.95,0.0,0.6,False
1795,twse,2019-12-16,108.0,104.5,0.0,3.5,False
1809,twse,2021-09-08,13.5,14.85,0.0,-1.35,False
1813,tpex,2018-12-26,19.05,18.85,-0.15,0.05,False
1813,tpex,2023-10-17,20.0,20.05,0.3,0.25,False
1813,tpex,2025-05-26,15.25,15.05,-0.25,-0.05,False
1813,tpex,2025-07-01,15.75,15.1,-0.6,0.05,False
1813,tpex,2025-07-29,15.05,14.9,-0.1,0.05,False
2002A,twse,2015-01-08,41.7,41.8,0.0,-0.1,False
2002A,twse,2015-01-15,41.8,41.55,0.0,0.25,False
2002A,twse,2015-04-20,41.8,41.85,0.0,-0.05,False
2002A,twse,2015-05-19,41.6,41.8,0.0,-0.2,False
2002A,twse,2015-05-29,41.8,41.7,0.0,0.1,False
2002A,twse,2015-06-03,41.7,41.8,0.0,-0.1,False
2002A,twse,2016-02-23,39.4,39.55,0.0,-0.15,False
2002A,twse,2016-06-17,40.6,40.65,0.0,-0.05,False
2002A,twse,2016-07-01,40.6,40.65,0.0,-0.05,False
2002A,twse,2016-08-18,40.35,40.55,0.0,-0.2,False
2002A,twse,2016-10-13,41.1,41.2,0.0,-0.1,False
2002A,twse,2016-10-31,41.2,41.5,0.0,-0.3,False
2002A,twse,2016-11-03,41.2,41.25,0.0,-0.05,False
2002A,twse,2016-12-22,41.5,41.6,0.0,-0.1,False
2002A,twse,2016-12-29,41.7,41.6,0.0,0.1,False
2002A,twse,2017-01-09,41.8,41.6,0.0,0.2,False
2002A,twse,2017-06-02,42.9,42.85,0.0,0.05,False
2002A,twse,2017-06-22,42.65,42.75,0.0,-0.1,False
2002A,twse,2017-09-06,42.15,42.25,0.0,-0.1,False
2002A,twse,2017-09-30,42.2,42.15,0.0,0.05,False
2002A,twse,2017-12-04,42.45,42.35,0.0,0.1,False
2002A,twse,2018-01-25,42.25,42.55,0.0,-0.3,False
2002A,twse,2021-11-15,51.7,51.9,0.0,-0.2,False
2002A,twse,2022-12-15,46.75,46.3,0.0,0.45,False
2002A,twse,2023-02-17,46.6,46.8,0.0,-0.2,False
2002A,twse,2023-03-01,46.7,46.55,0.0,0.15,False
2002A,twse,2025-08-21,39.65,39.6,0.0,0.05,False
2002A,twse,2025-08-25,39.6,39.7,0.0,-0.1,False
2002A,twse,2025-12-11,38.75,38.8,0.0,-0.05,False
2008,twse,2018-09-19,12.65,12.45,0.0,0.2,False
2008,twse,2018-09-21,12.45,12.5,0.0,-0.05,False
2008,twse,2019-05-21,12.35,12.45,0.0,-0.1,False
2008,twse,2019-07-05,12.4,12.35,0.0,0.05,False
2008,twse,2019-07-19,12.45,12.4,0.0,0.05,False
2008,twse,2019-08-30,12.4,12.35,0.0,0.05,False
2008,twse,2019-09-16,12.45,12.35,0.0,0.1,False
2008,twse,2019-12-06,12.4,12.35,0.0,0.05,False
2008,twse,2020-03-31,12.3,12.2,0.0,0.1,False
2008,twse,2020-04-07,12.5,12.3,0.0,0.2,False
2008,twse,2020-04-21,12.4,12.25,0.0,0.15,False
2008,twse,2020-04-28,12.25,12.3,0.0,-0.05,False
2008,twse,2020-05-14,12.4,12.3,0.0,0.1,False
2008,twse,2020-07-21,12.4,12.6,0.0,-0.2,False
2008,twse,2022-10-21,16.95,16.6,0.0,0.35,False
2008,twse,2025-04-25,24.5,24.4,0.0,0.1,False
2008,twse,2025-05-02,26.0,25.2,0.0,0.8,False
2008,twse,2025-06-26,24.75,26.0,0.0,-1.25,False
2066,tpex,2018-03-02,93.8,93.5,0.1,0.4,False
2066,tpex,2018-09-04,79.9,79.7,0.2,0.4,False
2066,tpex,2018-12-20,82.0,79.5,-2.3,0.2,False
2066,tpex,2019-06-27,76.3,75.3,-0.7,0.3,False
2066,tpex,2019-07-02,75.0,76.0,0.8,-0.2,False
2066,tpex,2020-01-30,67.9,62.5,-5.6,-0.2,False
2066,tpex,2020-10-07,50.8,50.1,-0.4,0.3,False
2066,tpex,2021-09-15,52.2,51.9,-0.2,0.1,False
2073,tpex,2024-08-12,29.2,29.3,0.0,-0.1,False
2073,tpex,2024-08-14,29.3,29.7,0.45,0.05,False
2073,tpex,2024-08-29,29.9,29.6,0.0,0.3,False
2073,tpex,2024-11-05,29.0,28.95,0.0,0.05,False
2073,tpex,2024-12-18,27.95,28.0,0.0,-0.05,False
2073,tpex,2025-01-10,28.5,27.8,-0.2,0.5,False
2073,tpex,2025-03-14,28.75,28.2,-0.5,0.05,False
2073,tpex,2025-04-24,29.7,29.0,0.5,1.2,False
2073,tpex,2025-05-21,29.0,28.95,0.2,0.25,False
2073,tpex,2025-05-23,28.95,28.0,-0.7,0.25,False
2073,tpex,2025-07-18,28.85,28.85,0.05,0.05,False
2073,tpex,2025-08-14,28.8,28.8,0.05,0.05,False
2073,tpex,2025-08-27,28.35,27.85,-0.2,0.3,False
2073,tpex,2025-09-19,28.0,27.9,0.0,0.1,False
2073,tpex,2025-12-10,27.0,27.1,0.0,-0.1,False
2073,tpex,2025-12-19,27.45,27.45,0.05,0.05,False
2073,tpex,2026-03-17,28.5,26.8,-0.2,1.5,False
2073,tpex,2026-03-25,27.8,28.0,0.5,0.3,False
2073,tpex,2026-04-07,27.1,25.8,-1.2,0.1,False
2073,tpex,2026-04-23,26.4,26.35,0.0,0.05,False
2073,tpex,2026-05-29,26.0,26.0,0.05,0.05,False
2073,tpex,2026-07-09,27.0,27.65,0.75,0.1,False
2073,tpex,2026-08-05,28.05,26.15,-1.8,0.1,False
2073,tpex,2026-09-03,26.4,26.6,0.25,0.05,False
2206,twse,2018-06-01,21.7,22.3,0.0,-0.6,False
2207,twse,2025-12-19,585.0,581.0,0.0,4.0,False
2233,twse,2019-09-17,75.9,75.3,0.0,0.6,False
2636,twse,2016-12-22,21.9,22.2,0.0,-0.3,False
2884,twse,2025-11-06,30.3,29.95,0.0,0.35,False
2891B,twse,2019-08-26,64.3,64.6,0.0,-0.3,False
2891B,twse,2019-12-31,66.1,66.2,0.0,-0.1,False
2891B,twse,2020-01-03,66.2,66.1,0.0,0.1,False
2891B,twse,2020-05-22,65.9,65.8,0.0,0.1,False
2891B,twse,2020-06-02,65.9,66.0,0.0,-0.1,False
2891B,twse,2020-06-29,67.6,67.3,0.0,0.3,False
2891B,twse,2020-07-07,67.2,67.3,0.0,-0.1,False
2891B,twse,2020-08-04,66.1,66.0,0.0,0.1,False
2891B,twse,2020-08-10,65.8,65.7,0.0,0.1,False
2891B,twse,2020-08-13,65.7,65.4,0.0,0.3,False
2891B,twse,2020-09-14,65.4,65.2,0.0,0.2,False
2891B,twse,2020-09-21,65.2,65.1,0.0,0.1,False
2891B,twse,2020-10-06,64.9,64.8,0.0,0.1,False
2891B,twse,2020-11-03,64.0,64.1,0.0,-0.1,False
2891B,twse,2020-11-27,64.3,64.2,0.0,0.1,False
2891B,twse,2020-12-24,63.5,63.3,0.0,0.2,False
2891B,twse,2021-03-09,63.6,63.7,0.0,-0.1,False
2891B,twse,2021-06-23,63.6,63.5,0.0,0.1,False
2891B,twse,2021-09-03,62.4,62.1,0.0,0.3,False
2891B,twse,2021-11-24,63.1,63.0,0.0,0.1,False
2891B,twse,2022-03-10,64.0,63.9,0.0,0.1,False
2891B,twse,2022-03-14,63.9,63.8,0.0,0.1,False
2891B,twse,2022-04-21,63.6,63.3,0.0,0.3,False
2891B,twse,2022-06-06,63.0,62.9,0.0,0.1,False
2891B,twse,2022-08-10,61.4,61.2,0.0,0.2,False
2891B,twse,2022-08-12,61.2,61.1,0.0,0.1,False
2891B,twse,2022-08-31,61.3,61.2,0.0,0.1,False
2891B,twse,2022-09-14,61.2,61.1,0.0,0.1,False
2891B,twse,2022-09-16,61.1,61.0,0.0,0.1,False
2891B,twse,2022-11-07,59.2,59.1,0.0,0.1,False
2891B,twse,2022-11-22,59.2,59.1,0.0,0.1,False
2891B,twse,2023-05-11,59.5,59.4,0.0,0.1,False
2891B,twse,2023-11-24,58.9,59.0,0.0,-0.1,False
2891B,twse,2024-08-16,59.9,60.0,0.0,-0.1,False
2891B,twse,2025-04-02,63.6,63.5,0.0,0.1,False
2891B,twse,2025-06-02,63.4,63.2,0.0,0.2,False
2891B,twse,2025-06-06,63.3,63.2,0.0,0.1,False
2891B,twse,2025-06-27,63.7,63.6,0.0,0.1,False
2891B,twse,2025-07-24,62.4,62.6,0.0,-0.2,False
2891B,twse,2025-07-28,62.6,62.8,0.0,-0.2,False
2891B,twse,2025-07-31,62.8,62.4,0.0,0.4,False
2891B,twse,2025-08-06,62.8,63.1,0.0,-0.3,False
2891B,twse,2025-10-30,63.7,63.9,0.0,-0.2,False
2891B,twse,2025-12-08,63.9,63.8,0.0,0.1,False
2891B,twse,2026-02-06,64.0,63.9,0.0,0.1,False
2891B,twse,2026-04-13,64.1,64.3,0.0,-0.2,False
2891B,twse,2026-08-07,62.7,62.6,0.0,0.1,False
2891B,twse,2026-08-13,62.6,62.5,0.0,0.1,False
2891C,twse,2020-09-08,63.4,63.3,0.0,0.1,False
2891C,twse,2020-12-24,61.0,61.2,0.0,-0.2,False
2891C,twse,2021-08-05,62.5,62.4,0.0,0.1,False
2891C,twse,2021-11-01,61.4,61.3,0.0,0.1,False
2891C,twse,2022-01-18,61.9,61.8,0.0,0.1,False
2891C,twse,2022-02-21,61.9,62.3,0.0,-0.4,False
2891C,twse,2022-03-25,62.0,61.9,0.0,0.1,False
2891C,twse,2022-04-13,62.0,61.8,0.0,0.2,False
2891C,twse,2022-05-06,61.7,61.6,0.0,0.1,False
2891C,twse,2022-06-08,61.6,61.4,0.0,0.2,False
2891C,twse,2022-09-30,60.1,60.0,0.0,0.1,False
2891C,twse,2022-10-12,59.9,59.7,0.0,0.2,False
2891C,twse,2022-11-14,58.3,60.0,0.0,-1.7,False
2891C,twse,2022-11-21,59.7,59.5,0.0,0.2,False
2891C,twse,2022-11-25,59.3,59.1,0.0,0.2,False
2891C,twse,2022-12-01,59.2,59.1,0.0,0.1,False
2891C,twse,2022-12-19,58.4,59.4,0.0,-1.0,False
2891C,twse,2023-01-09,59.5,59.3,0.0,0.2,False
2891C,twse,2023-01-12,59.3,59.4,0.0,-0.1,False
2891C,twse,2023-02-02,59.7,59.8,0.0,-0.1,False
2891C,twse,2023-02-15,59.8,59.5,0.0,0.3,False
2891C,twse,2023-04-18,59.9,59.8,0.0,0.1,False
2891C,twse,2023-05-18,59.4,59.3,0.0,0.1,False
2891C,twse,2023-05-30,59.2,59.3,0.0,-0.1,False
2891C,twse,2023-06-02,59.3,59.5,0.0,-0.2,False
2891C,twse,2023-07-04,59.3,59.1,0.0,0.2,False
2891C,twse,2023-07-14,59.1,59.0,0.0,0.1,False
2891C,twse,2023-07-24,59.0,58.8,0.0,0.2,False
2891C,twse,2023-08-09,58.6,58.5,0.0,0.1,False
2891C,twse,2023-08-28,58.7,58.8,0.0,-0.1,False
2891C,twse,2023-09-26,59.9,60.0,0.0,-0.1,False
2891C,twse,2023-10-26,58.8,58.7,0.0,0.1,False
2891C,twse,2023-11-30,58.9,58.8,0.0,0.1,False
2891C,twse,2023-12-25,58.8,59.2,0.0,-0.4,False
2891C,twse,2024-04-19,58.4,58.2,0.0,0.2,False
2891C,twse,2024-05-23,58.4,58.5,0.0,-0.1,False
2891C,twse,2024-08-09,57.7,57.4,0.0,0.3,False
2891C,twse,2024-09-06,57.4,57.2,0.0,0.2,False
2891C,twse,2024-09-10,57.2,57.1,0.0,0.1,False
2891C,twse,2024-09-19,57.0,56.9,0.0,0.1,False
2891C,twse,2024-09-26,57.0,56.7,0.0,0.3,False
2891C,twse,2024-10-21,56.5,56.7,0.0,-0.2,False
2891C,twse,2024-10-28,56.4,56.5,0.0,-0.1,False
2891C,twse,2024-12-23,56.9,56.8,0.0,0.1,False
2891C,twse,2025-01-22,58.5,58.4,0.0,0.1,False
2891C,twse,2025-02-07,58.4,58.5,0.0,-0.1,False
2891C,twse,2025-02-14,58.5,58.3,0.0,0.2,False
2891C,twse,2025-04-30,59.3,59.4,0.0,-0.1,False
2891C,twse,2025-06-05,59.8,59.6,0.0,0.2,False
2891C,twse,2025-07-09,60.2,60.3,0.0,-0.1,False
2891C,twse,2025-10-02,60.3,60.2,0.0,0.1,False
2891C,twse,2025-12-29,60.3,60.2,0.0,0.1,False
2891C,twse,2026-03-16,60.4,60.5,0.0,-0.1,False
2891C,twse,2026-07-27,62.2,62.0,0.0,0.2,False
2891C,twse,2026-07-29,62.0,61.8,0.0,0.2,False
2891C,twse,2026-08-17,61.5,61.4,0.0,0.1,False
2891C,twse,2026-08-25,61.4,61.9,0.0,-0.5,False
2897A,twse,2020-10-05,10.15,10.2,0.0,-0.05,False
2897A,twse,2020-11-30,10.15,10.2,0.0,-0.05,False
2897A,twse,2022-11-04,9.92,9.89,0.0,0.03,False
2897A,twse,2023-02-01,10.05,10.1,0.0,-0.05,False
2897A,twse,2023-03-24,10.3,10.25,0.0,0.05,False
2897A,twse,2023-09-22,10.1,10.05,0.0,0.05,False
2897A,twse,2023-09-26,10.05,10.1,0.0,-0.05,False
2897A,twse,2023-11-21,10.2,10.25,0.0,-0.05,False
2897A,twse,2024-08-28,10.25,10.2,0.0,0.05,False
2912,twse,2017-07-28,288.5,266.0,0.0,22.5,False
3055,twse,2019-06-18,25.9,25.85,0.0,0.05,False
3092,twse,2021-05-13,65.3,60.3,0.0,5.0,False
3219,tpex,2015-08-06,13.6,13.8,0.0,-0.2,False
3219,tpex,2015-10-07,11.7,12.0,0.25,-0.05,False
3219,tpex,2016-03-07,9.7,9.88,0.21,0.03,False
3219,tpex,2016-06-01,9.33,9.66,0.05,-0.28,False
3219,tpex,2016-08-25,9.61,10.2,0.56,-0.03,False
3219,tpex,2017-04-26,18.75,17.3,-1.35,0.1,False
3219,tpex,2017-05-23,17.5,17.35,0.0,0.15,False
3219,tpex,2017-11-30,16.7,22.15,2.0,-3.45,False
3219,tpex,2017-12-04,22.15,26.75,2.4,-2.2,False
3219,tpex,2018-03-30,27.9,27.0,-0.7,0.2,False
3219,tpex,2018-05-09,27.9,28.2,0.65,0.35,False
3219,tpex,2018-06-29,24.25,26.25,1.65,-0.35,False
3219,tpex,2018-08-01,23.45,24.5,0.9,-0.15,False
3219,tpex,2018-11-06,18.25,16.9,-1.1,0.25,False
3219,tpex,2018-12-12,10.9,10.1,-0.9,-0.1,False
3219,tpex,2019-01-04,11.0,15.55,-1.7,-6.25,False
3219,tpex,2019-01-18,14.0,13.55,-0.75,-0.3,False
3219,tpex,2019-02-12,14.0,14.0,-0.1,-0.1,False
3219,tpex,2019-02-14,14.0,14.0,-0.2,-0.2,False
3219,tpex,2019-03-05,15.3,14.5,-0.5,0.3,False
3219,tpex,2019-04-01,14.1,14.15,0.0,-0.05,False
3219,tpex,2019-06-05,23.0,24.0,0.0,-1.0,False
3219,tpex,2019-06-11,24.0,25.5,1.0,-0.5,False
3219,tpex,2019-09-17,21.6,22.2,0.75,0.15,False
3219,tpex,2019-09-27,21.0,21.0,0.05,0.05,False
3219,tpex,2019-11-05,20.0,17.95,-1.95,0.1,False
3219,tpex,2019-11-15,17.2,16.5,-0.55,0.15,False
3219,tpex,2019-11-25,15.0,14.9,0.0,0.1,False
3219,tpex,2019-12-09,14.9,14.9,-0.05,-0.05,False
3219,tpex,2020-08-24,15.65,18.9,1.7,-1.55,False
3219,tpex,2020-09-30,40.0,39.5,-0.45,0.05,False
3219,tpex,2022-06-15,90.5,90.0,0.1,0.6,False
3219,tpex,2022-08-24,74.2,73.3,-1.4,-0.5,False
3219,tpex,2023-04-21,54.8,51.7,-3.0,0.1,False
3219,tpex,2023-04-27,51.6,52.4,1.0,0.2,False
3266,twse,2016-01-22,11.35,11.15,0.0,0.2,False
3306,tpex,2016-06-14,22.35,22.3,0.05,0.1,False
3306,tpex,2020-10-30,18.2,18.05,-0.1,0.05,False
3416,twse,2015-01-23,63.8,63.9,0.0,-0.1,False
3489,tpex,2016-04-01,9.96,9.94,0.0,0.02,False
3489,tpex,2021-08-20,11.0,10.8,-0.1,0.1,False
3489,tpex,2022-11-02,10.15,10.05,-0.05,0.05,False
3489,tpex,2022-11-09,10.25,10.1,-0.05,0.1,False
3528,twse,2016-05-18,32.05,32.15,0.0,-0.1,False
3528,twse,2022-10-03,50.0,49.9,0.0,0.1,False
3563,twse,2019-04-02,438.0,430.0,0.0,8.0,False
3564,tpex,2018-09-21,19.65,19.8,0.0,-0.15,False
3564,tpex,2018-12-05,18.5,18.15,-0.3,0.05,False
3564,tpex,2018-12-11,18.25,17.65,-0.25,0.35,False
3564,tpex,2019-02-20,23.1,23.5,0.45,0.05,False
3564,tpex,2021-08-19,23.05,23.0,-0.15,-0.1,False
3564,tpex,2021-09-02,23.35,23.05,-0.2,0.1,False
3652,twse,2019-01-24,16.25,16.2,0.0,0.05,False
3652,twse,2022-09-21,24.0,24.9,0.0,-0.9,False
3702,twse,2019-11-13,38.3,39.0,0.0,-0.7,False
3702A,twse,2019-11-13,52.2,52.1,0.0,0.1,False
3702A,twse,2022-10-11,47.95,47.6,0.0,0.35,False
4429,tpex,2016-06-30,22.95,23.35,0.45,0.05,False
4429,tpex,2016-08-02,22.75,22.85,0.15,0.05,False
4429,tpex,2016-11-18,22.5,22.8,0.25,-0.05,False
4429,tpex,2017-08-02,22.95,22.6,-0.3,0.05,False
4429,tpex,2017-12-05,23.5,22.85,-0.5,0.15,False
4429,tpex,2018-01-17,21.95,21.5,-0.4,0.05,False
4429,tpex,2018-01-22,21.7,22.0,0.25,-0.05,False
4429,tpex,2018-02-23,21.1,21.35,0.0,-0.25,False
4429,tpex,2018-03-07,21.65,22.4,0.65,-0.1,False
4429,tpex,2018-03-27,22.5,21.75,-0.65,0.1,False
4429,tpex,2018-05-24,21.2,21.0,0.0,0.2,False
4429,tpex,2018-10-17,21.45,21.25,-0.45,-0.25,False
4429,tpex,2018-12-20,22.8,21.6,-0.8,0.4,False
4429,tpex,2019-03-05,22.0,22.4,0.45,0.05,False
4429,tpex,2019-03-14,22.0,21.35,-0.6,0.05,False
4429,tpex,2019-05-10,20.3,20.35,0.0,-0.05,False
4429,tpex,2019-08-22,21.05,21.05,-0.05,-0.05,False
4429,tpex,2019-08-26,21.05,21.0,-0.1,-0.05,False
