stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof,days,n_markets,avg_close_ours,avg_close_trunc_ours,high_ours,high_date_ours,low_ours,low_date_ours,volume_ours,amount_ours,tx_ours,avg_price_ours,status,high_ok,low_ok,avg_price_ok,volume_ok,amount_ok,transactions_ok,qty_note
1103,115,6,13.9,13.0,13.47,6010,107360628,7966588,1.0,20260909,21,1,13.54,13.53,13.9,2026-06-18,13.0,2026-06-01,7966588.0,107360628.0,6010.0,13.47,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1103,115,7,13.8,13.05,13.41,6154,155959782,11623472,1.39,20260909,22,1,13.43,13.43,13.8,2026-07-20,13.05,2026-07-24,11623472.0,155959782.0,6154.0,13.41,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1103,115,8,13.4,12.9,13.14,4526,81189038,6174925,0.74,20260909,21,1,13.15,13.15,13.4,2026-08-24,12.9,2026-08-04,6174925.0,81189038.0,4526.0,13.14,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,1,30.95,29.6,30.08,9955,374275348,12439614,1.81,20260909,21,1,30.05,30.05,30.95,2026-01-14,29.6,2026-01-30,12439614.0,374275348.0,9955.0,30.08,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,2,30.45,29.1,29.79,5858,224319175,7529920,1.09,20260909,12,1,29.72,29.72,30.45,2026-02-23,29.1,2026-02-02,7529920.0,224319175.0,5858.0,29.79,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,3,30.35,28.0,29.39,14471,467220757,15895600,2.31,20260909,22,1,29.4,29.4,30.35,2026-03-30,28.0,2026-03-09,15895600.0,467220757.0,14471.0,29.39,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,4,29.8,28.15,29.05,9916,401587279,13821055,2.01,20260909,20,1,29.07,29.06,29.8,2026-04-01,28.15,2026-04-27,13821055.0,401587279.0,9916.0,29.05,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,5,28.55,27.0,27.8,14790,423205754,15220782,2.21,20260909,20,1,27.76,27.76,28.55,2026-05-12,27.0,2026-05-28,15220782.0,423205754.0,14790.0,27.8,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,6,29.6,26.5,28.33,18055,788745210,27832829,4.05,20260909,21,1,28.44,28.44,29.6,2026-06-09,26.5,2026-06-30,27832829.0,788745210.0,18055.0,28.33,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,7,27.75,26.35,26.94,12769,438549071,16273777,2.36,20260909,22,1,26.91,26.91,27.75,2026-07-06,26.35,2026-07-29,16273777.0,438549071.0,12769.0,26.94,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1104,115,8,27.0,26.25,26.6,12098,610347512,22938464,3.34,20260909,21,1,26.61,26.61,27.0,2026-08-03,26.25,2026-08-19,22938464.0,610347512.0,12098.0,26.6,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,1,15.25,14.85,15.05,2207,82074369,5452637,1.34,20260909,21,1,15.03,15.02,15.25,2026-01-20,14.85,2026-01-09,5452637.0,82074369.0,2207.0,15.05,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,2,15.3,14.95,15.11,1202,31614885,2090977,0.51,20260909,12,1,15.15,15.14,15.3,2026-02-26,14.95,2026-02-06,2090977.0,31614885.0,1202.0,15.11,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,3,15.4,14.7,14.99,3103,108679076,7245399,1.79,20260909,22,1,14.99,14.99,15.4,2026-03-02,14.7,2026-03-31,7245399.0,108679076.0,3103.0,14.99,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,4,14.95,14.45,14.76,2585,80409170,5446544,1.34,20260909,20,1,14.74,14.73,14.95,2026-04-16,14.45,2026-04-28,5446544.0,80409170.0,2585.0,14.76,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,5,14.65,13.4,13.97,3322,100673695,7203824,1.77,20260909,20,1,14.0,13.99,14.65,2026-05-11,13.4,2026-05-27,7203824.0,100673695.0,3322.0,13.97,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,6,14.15,13.55,13.8,3365,111066509,8047909,1.98,20260909,21,1,13.81,13.8,14.15,2026-06-04,13.55,2026-06-10,8047909.0,111066509.0,3365.0,13.8,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,7,14.15,11.8,13.11,5543,162057176,12353799,3.05,20260909,22,1,12.89,12.88,14.15,2026-07-06,11.8,2026-07-29,12353799.0,162057176.0,5543.0,13.11,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1108,115,8,12.1,11.65,11.82,2832,66304850,5605600,1.38,20260909,21,1,11.85,11.84,12.1,2026-08-10,11.65,2026-08-31,5605600.0,66304850.0,2832.0,11.82,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,1,15.6,15.3,15.43,2674,42134381,2729111,0.79,20260909,21,1,15.45,15.45,15.6,2026-01-20,15.3,2026-01-26,2729111.0,42134381.0,2674.0,15.43,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,2,15.9,15.3,15.55,1424,24199485,1556066,0.45,20260909,12,1,15.53,15.52,15.9,2026-02-24,15.3,2026-02-02,1556066.0,24199485.0,1424.0,15.55,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,3,16.0,15.05,15.33,3449,60115384,3919286,1.14,20260909,22,1,15.34,15.34,16.0,2026-03-02,15.05,2026-03-30,3919286.0,60115384.0,3449.0,15.33,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,4,15.6,15.15,15.4,2395,43990827,2856043,0.83,20260909,20,1,15.42,15.41,15.6,2026-04-17,15.15,2026-04-01,2856043.0,43990827.0,2395.0,15.4,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,5,15.5,14.3,14.85,5277,70257162,4728203,1.38,20260909,20,1,14.94,14.93,15.5,2026-05-11,14.3,2026-05-28,4728203.0,70257162.0,5277.0,14.85,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,6,14.9,14.35,14.59,3910,51617024,3536751,1.03,20260909,21,1,14.64,14.64,14.9,2026-06-15,14.35,2026-06-24,3536751.0,51617024.0,3910.0,14.59,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,7,14.8,13.65,14.41,3942,61744485,4284235,1.25,20260909,22,1,14.2,14.2,14.8,2026-07-07,13.65,2026-07-31,4284235.0,61744485.0,3942.0,14.41,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1109,115,8,13.8,13.4,13.56,2580,35756587,2635994,0.77,20260909,21,1,13.57,13.57,13.8,2026-08-03,13.4,2026-08-31,2635994.0,35756587.0,2580.0,13.56,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,1,16.7,16.15,16.37,2189,105598183,6447906,1.12,20260909,21,1,16.35,16.34,16.7,2026-01-02,16.15,2026-01-28,6447906.0,105598183.0,2189.0,16.37,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,2,16.7,15.75,16.31,1500,38766425,2375775,0.41,20260909,12,1,16.37,16.36,16.7,2026-02-26,15.75,2026-02-02,2375775.0,38766425.0,1500.0,16.31,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1110,115,3,16.65,14.7,15.55,3139,78619426,5055432,0.88,20260909,22,1,15.6,15.59,16.65,2026-03-02,14.7,2026-03-24,5055432.0,78619426.0,3139.0,15.55,比對,1.0,1.0,1.0,1.0,1.0,1.0,
