stock_id,name,first_seen,listed_date,adj_events_before_listing
1256,鮮活果汁-KY,2015-01-05,20160317,0
1597,直得,2015-01-05,20201223,0
1752,南光,2015-01-05,20220119,0
1795,美時,2015-01-05,20191216,0
2233,宇隆,2015-01-05,20190917,0
2636,台驊控股,2015-01-05,20161222,0
3092,鴻碩,2015-01-05,20210513,0
3528,安馳,2015-01-05,20160518,0
3563,牧德,2015-01-05,20190402,0
3652,精聯,2015-01-05,20220921,0
4720,德淵,2015-01-05,20150624,0
4736,泰博,2015-01-05,20231222,0
4739,康普,2015-01-05,20170908,0
4912,聯德控股-KY,2015-01-05,20150521,0
4927,泰鼎-KY,2015-01-05,20150908,0
5236,凌陽創新,2021-07-29,20260716,0
5284,jpp-KY,2015-01-05,20170309,0
5306,桂盟,2015-01-05,20220308,0
6024,群益期,2015-01-05,20171016,0
6426,統新,2015-01-05,20210324,0
6438,迅得,2017-04-25,20210119,0
6446,藥華藥,2016-07-19,20240125,0
6472,保瑞,2017-04-19,20231219,0
6589,台康生技,2019-06-28,20250721,0
6873,泓德能源,2023-03-06,20240926,3
8462,柏文,2016-03-10,20190315,0
8476,台境*,2017-03-28,20231031,0
