cell,r,seed,x_new_n,x_add_trig,x_add_n,x_add_short,x_add_blocked_days,x_add_n_in_window
2-B ⓐ 收盤 ≥ 進場價 +15%,0,99000,138,64,13,51,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,1,99001,138,73,15,58,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,2,99002,137,68,17,51,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,3,99003,136,68,17,51,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,4,99004,136,75,16,59,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,5,99005,137,69,16,53,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,6,99006,137,73,16,57,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,7,99007,136,75,14,61,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,8,99008,136,72,16,56,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,9,99009,138,74,13,61,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,10,99010,136,76,15,61,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,11,99011,138,76,17,59,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,12,99012,137,74,12,62,0,12
2-B ⓐ 收盤 ≥ 進場價 +15%,13,99013,138,79,17,62,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,14,99014,137,75,20,55,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,15,99015,137,65,17,48,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,16,99016,138,76,18,58,0,18
2-B ⓐ 收盤 ≥ 進場價 +15%,17,99017,138,75,17,58,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,18,99018,137,70,16,54,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,19,99019,137,76,16,60,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,20,99020,137,75,20,55,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,21,99021,138,76,15,61,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,22,99022,137,77,21,56,0,21
2-B ⓐ 收盤 ≥ 進場價 +15%,23,99023,136,71,16,55,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,24,99024,138,75,16,59,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,25,99025,137,67,15,52,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,26,99026,137,67,14,53,0,14
2-B ⓐ 收盤 ≥ 進場價 +15%,27,99027,138,82,16,66,0,16
2-B ⓐ 收盤 ≥ 進場價 +15%,28,99028,136,77,20,57,0,20
2-B ⓐ 收盤 ≥ 進場價 +15%,29,99029,138,75,15,60,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,30,99030,138,79,15,64,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,31,99031,138,78,15,63,0,15
2-B ⓐ 收盤 ≥ 進場價 +15%,32,99032,137,74,17,57,0,17
2-B ⓐ 收盤 ≥ 進場價 +15%,33,99033,137,81,19,62,0,19
2-B ⓐ 收盤 ≥ 進場價 +15%,34,99034,138,68,13,55,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,35,99035,137,73,9,64,0,9
2-B ⓐ 收盤 ≥ 進場價 +15%,36,99036,137,73,13,60,0,13
2-B ⓐ 收盤 ≥ 進場價 +15%,37,99037,137,73,15,58,0,15
