date,factor,cum_factor,pre_close,ref_price,kind
2015-08-31,0.97129187,0.76340137,10.45,10.15,息
2016-08-22,0.96875000,0.78596496,12.8,12.4,息
2017-08-28,0.96969697,0.81131867,13.2,12.8,息
2018-06-26,0.97656250,0.83667238,12.8,12.5,息
2019-08-26,0.97156398,0.85675251,10.55,10.25,息
2020-08-24,0.97073171,0.88182820,10.25,9.95,息
2021-08-17,0.97297297,0.90841598,11.1,10.8,息
2022-08-19,0.98245614,0.93364976,11.4,11.2,息
2023-08-25,0.98297872,0.95032208,11.75,11.55,息
2024-08-26,0.98484848,0.96677787,13.2,13,息
2025-08-28,0.98165138,0.98165138,10.9,10.7,息
