date,factor,cum_factor,pre_close,ref_price,kind,event
2018-06-26,0.94550409,0.27555046,183.5,173.5,除息,exright
2019-06-24,0.91428571,0.29143234,175,160,除息,exright
2020-06-29,0.93569132,0.31875412,155.5,145.5,除息,exright
2021-06-28,0.94444444,0.34066162,144,136,除息,exright
2022-06-30,0.92523364,0.36070054,160.5,148.5,除息,exright
2022-08-29,0.50000000,0.38984805,169,84.5,面額變更（股數推導）,parvalue
2023-01-30,0.97785161,0.77969611,90.3,88.3,除息,exright
2023-06-29,0.93906103,0.79735627,106.5,100.01,除息,exright
2024-01-08,0.97558719,0.84909952,140.5,137.07,除息,exright
2024-06-27,0.96430769,0.87034714,195,188.04,除息,exright
2025-02-21,0.98806584,0.90256164,243,240.1,除息,exright
2025-06-27,0.94674556,0.91346305,169,160,除息,exright
2026-01-12,0.98488665,0.96484535,198.5,195.5,除息,exright
2026-06-29,0.97965116,0.97965116,344,337,除息,exright
