date,factor,cum_factor,pre_close,ref_price,kind
2015-08-27,0.98511628,0.57304372,10.75,10.59,息
2016-10-05,0.97519380,0.58170160,19.35,18.87,息
2017-10-11,0.97480720,0.59649847,19.45,18.96,息
2018-08-31,0.97522659,0.61191430,16.55,16.14,息
2019-07-22,0.96920732,0.62745859,32.8,31.79,息
2020-09-17,0.98577525,0.64739358,70.3,69.3,息
2021-07-23,0.96521739,0.65673548,57.5,55.5,息
2022-08-11,0.92700730,0.68040162,41.1,38.1,息
2023-07-11,0.92213571,0.73397655,44.95,41.45,息
2024-07-09,0.94974874,0.79595286,59.7,56.7,息
2025-06-24,0.92063492,0.83806677,50.4,46.4,息
2026-03-27,0.91031390,0.91031390,44.6,40.6,息
