date,factor,cum_factor,pre_close,ref_price,kind
2019-11-22,0.98798077,0.72991416,20.8,20.55,息
2020-02-21,0.99141221,0.73879390,20.96,20.78,息
2020-05-22,0.98872180,0.74519346,18.62,18.41,息
2020-08-21,0.99125064,0.75369376,19.43,19.26,息
2020-11-20,0.99067840,0.76034630,19.31,19.13,息
2021-03-03,0.99089936,0.76750063,18.68,18.51,息
2021-05-21,0.99056604,0.77454953,19.08,18.9,息
2021-08-20,0.99062011,0.78192619,19.19,19.01,息
2021-11-19,0.99002625,0.78933002,19.05,18.86,息
2022-02-25,0.98976691,0.79728191,17.59,17.41,息
2022-05-18,0.98936799,0.80552492,16.93,16.75,息
2022-08-16,0.99106145,0.81418131,17.9,17.74,息
2022-11-16,0.98854732,0.82152454,16.59,16.4,息
2023-02-16,0.98957730,0.83104221,17.27,17.09,息
2023-05-17,0.98853503,0.83979514,15.7,15.52,息
2023-08-16,0.98852657,0.84953503,16.56,16.37,息
2023-11-16,0.98898409,0.85939524,16.34,16.16,息
2024-02-27,0.98857796,0.86896771,17.51,17.31,息
2024-05-17,0.98809524,0.87900778,17.64,17.43,息
2024-08-16,0.98764739,0.88959823,17.81,17.59,息
2024-11-18,0.98792536,0.90072453,18.22,18,息
2025-02-21,0.98766125,0.91173339,17.83,17.61,息
2025-05-22,0.98595147,0.92312358,15.66,15.44,息
2025-08-21,0.98682560,0.93627690,15.94,15.73,息
2025-11-21,0.98702903,0.94877646,16.19,15.98,息
2026-02-26,0.98719512,0.96124474,16.4,16.19,息
2026-05-22,0.98695652,0.97371302,16.1,15.89,息
2026-08-21,0.98658147,0.98658147,15.65,15.44,息
