date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2016-08-16,0.94439597,,0.38059051,80.7,76.21,息,exright
2017-08-24,0.97291129,,0.40299887,73.7,71.7,息,exright
2018-08-27,0.93177934,,0.41421954,68.1,63.45,權息,exright
2019-08-26,0.98792346,,0.44454682,42.25,41.73,息,exright
2020-08-11,0.99771494,,0.44998104,436.5,435.5,息,exright
2021-08-16,0.99211442,,0.45101162,634,629,息,exright
2021-10-18,0.50000000,,0.45459638,750,375,,parvalue
2022-06-21,0.97448390,,0.90919277,235,229,息,exright
2023-06-20,0.97895758,,0.93299927,332.5,325.5,息,exright
2024-06-20,0.98170547,,0.95305383,382.5,375.5,息,exright
2025-06-18,0.97747618,,0.97081442,310.5,303.5,息,exright
2026-06-22,0.99318473,,0.99318473,1025,1018.01,息,exright
