date,factor,cum_factor,pre_close,ref_price,kind
2015-07-20,0.95991091,0.66720952,22.45,21.55,息
2016-07-14,0.94029851,0.69507442,23.45,22.05,息
2017-07-14,0.94202899,0.73920613,27.6,26,息
2018-07-16,0.95422031,0.78469574,34.95,33.35,息
2019-07-16,0.98232695,0.82234231,33.95,33.35,息
2020-07-14,0.98016529,0.83713707,30.25,29.65,息
2021-08-18,0.98071625,0.85407745,36.3,35.6,息
2022-07-14,0.91887676,0.87087111,32.05,29.45,息
2023-07-27,0.96021700,0.94775617,27.65,26.55,息
2023-11-28,0.98702290,0.98702290,26.2,25.86,權
