date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2011-07-07,0.92725250,,0.40348027,89.9,83.36,除權,exright
2012-02-10,0.97756410,,0.43513527,78,76.25,除權,exright
2012-09-05,0.88887531,,0.44512198,81.8,72.71,除權,exright
2013-07-11,0.79642857,,0.50076988,98,78.05,除權,exright
2014-07-10,0.89608270,,0.62876936,91.9,82.35,除權,exright
2015-07-15,0.90906433,,0.70168675,68.4,62.18,除權,exright
2016-07-14,0.90918367,,0.77187799,49,44.55,除權,exright
2018-07-10,0.90911765,,0.84897916,68,61.82,除權,exright
2020-07-16,0.96343693,,0.93384961,54.7,52.7,除權息,exright
2021-08-26,0.96928983,,0.96928983,52.1,50.5,除息,exright
