date,factor,cum_factor,pre_close,ref_price,kind,event
2015-09-09,0.93010753,0.66580920,18.6,17.3,除息,exright
2016-09-06,0.95982783,0.71584111,34.85,33.45,除息,exright
2017-09-04,0.98708333,0.74580157,120,118.45,除息,exright
2018-08-24,0.97396963,0.75556090,92.2,89.8,除息,exright
2019-08-22,0.96116505,0.77575407,72.1,69.3,除息,exright
2020-08-26,0.96096000,0.80709767,62.5,60.06,除息,exright
2021-07-23,0.98502155,0.83988685,92.8,91.41,除息,exright
2022-07-11,0.96738197,0.85265835,116.5,112.7,除息,exright
2023-07-17,0.95208333,0.88140814,96,91.4,除息,exright
2024-07-10,0.98666667,0.92576785,82.5,81.4,除息,exright
2025-07-16,0.96652482,0.93827823,70.5,68.14,除息,exright
2026-07-15,0.97077510,0.97077510,78.7,76.4,除息,exright
