date,factor,cum_factor,pre_close,ref_price,kind
2015-07-09,0.93769470,0.63900087,16.05,15.05,息
2016-06-23,0.93485342,0.68145940,15.35,14.35,息
2017-06-16,0.95098039,0.72894786,20.4,19.4,息
2018-06-21,0.95661605,0.76652250,23.05,22.05,息
2019-06-27,0.95022624,0.80128542,22.1,21,息
2020-06-22,0.96279070,0.84325752,21.5,20.7,息
2021-06-28,0.97175141,0.87584718,17.7,17.2,息
2022-07-07,0.96311475,0.90130785,24.4,23.5,息
2023-07-10,0.95978552,0.93582602,37.3,35.8,息
2024-07-10,0.98957055,0.97503661,163,161.3,息
2025-07-10,0.99245283,0.98531288,132.5,131.5,息
2026-07-13,0.99280576,0.99280576,139,138,息
