date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-27,0.95312500,0.71773571,32,30.5,除息,exright
2016-07-19,0.98322851,0.75303419,23.85,23.45,除息,exright
2018-07-04,0.97025440,0.76587912,25.55,24.79,除權,exright
2018-07-17,0.99588477,0.78935908,24.3,24.2,除息,exright
2019-08-01,0.98750000,0.79262090,16,15.8,除息,exright
2020-07-27,0.98250729,0.80265407,17.15,16.85,除息,exright
2021-09-02,0.98561151,0.81694465,20.85,20.55,除息,exright
2022-08-17,0.98226950,0.82887085,28.2,27.7,除息,exright
2022-09-19,0.91759531,0.84383242,34.1,31.29,除權,exright
2023-08-17,0.97903564,0.91961283,23.85,23.35,除息,exright
2024-08-22,0.98266898,0.93930475,28.85,28.35,除息,exright
2025-08-14,0.98050682,0.95587097,25.65,25.15,除息,exright
2026-08-13,0.97487437,0.97487437,19.9,19.4,除息,exright
