date,factor,cum_factor,pre_close,ref_price,kind
2015-07-09,0.97520661,0.48511458,12.1,11.8,息
2016-07-11,0.94339623,0.49744800,10.6,10,息
2017-07-13,0.95575221,0.52729488,11.3,10.8,息
2018-07-05,0.95302013,0.55170668,14.9,14.2,息
2019-06-26,0.95221843,0.57890349,14.65,13.95,息
2019-08-27,0.96428571,0.60795241,14,13.5,息
2020-04-09,0.95762712,0.63046916,11.8,11.3,息
2020-08-26,0.96428571,0.65836603,14,13.5,息
2021-04-28,0.95238095,0.68274996,21,20,息
2022-07-11,0.94366197,0.71688745,17.75,16.75,息
2023-06-19,0.94680851,0.75968671,18.8,17.8,息
2024-03-28,0.95133820,0.80236573,20.55,19.55,息
2024-08-28,0.95233645,0.84340746,21.4,20.38,權
2025-04-10,0.94350282,0.88561922,17.7,16.7,息
2026-03-27,0.93865031,0.93865031,16.3,15.3,息
