date,factor,cum_factor,pre_close,ref_price,kind
2015-09-17,0.95824635,0.70323429,23.95,22.95,息
2016-09-26,0.96070727,0.73387630,25.45,24.45,息
2017-09-28,0.95580110,0.76389170,27.15,25.95,息
2018-09-27,0.95348837,0.79921617,27.95,26.65,息
2019-09-26,0.97533909,0.83820232,40.55,39.55,息
2020-09-23,0.98107715,0.85939581,68.7,67.4,息
2021-08-24,0.96132597,0.87597169,72.4,69.6,息
2022-08-25,0.96324786,0.91121193,117,112.7,息
2023-02-17,0.98493617,0.94597867,117.5,115.73,權
2023-08-25,0.98708010,0.96044667,387,382,息
2024-08-15,0.98834171,0.97301796,597,590.04,息
2025-08-19,0.99131878,0.98449550,1145,1135.06,息
2026-08-19,0.99311697,0.99311697,3035,3014.11,息
