date,factor,cum_factor,pre_close,ref_price,kind
2015-07-27,0.97623318,0.63858303,223,217.7,息
2016-07-18,0.97407407,0.65412961,216,210.4,息
2017-07-11,0.96751269,0.67153990,197,190.6,息
2018-07-09,0.97082969,0.69408898,229,222.32,息
2019-06-24,0.97045455,0.71494412,220,213.5,息
2020-06-24,0.96717172,0.73671057,198,191.5,息
2021-08-02,0.96246334,0.76171641,170.5,164.1,息
2022-06-15,0.95749129,0.79142382,143.5,137.4,息
2023-06-20,0.96101695,0.82655981,177,170.1,息
2024-06-20,0.95700935,0.86008869,160.5,153.6,息
2025-01-21,0.98181818,0.89872549,148.5,145.8,息
2025-06-23,0.96718750,0.91536855,128,123.8,息
2026-01-08,0.98267717,0.94642306,127,124.8,息
2026-06-17,0.96310680,0.96310680,103,99.2,息
