date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2008-07-24,0.90714286,,0.41512351,14,12.7,除息,exright
2009-09-10,0.93625954,,0.45761647,26.2,24.53,除權息,exright
2010-08-24,0.94987212,,0.48877096,39.1,37.14,除息,exright
2011-07-18,0.92156863,,0.51456501,38.25,35.25,除息,exright
2012-07-26,0.90224090,,0.55835777,35.7,32.21,除息,exright
2013-07-30,0.92163543,,0.61885665,29.35,27.05,除息,exright
2014-07-31,0.95087719,,0.67147662,57,54.2,除息,exright
2015-07-17,0.92021277,,0.70616545,56.4,51.9,除息,exright
2015-09-18,0.97807377,,0.76739367,48.8,47.73,除權,exright
2016-07-01,0.91086556,,0.78459692,54.3,49.46,除息,exright
2017-07-06,0.92700000,,0.86137510,70,64.89,除息,exright
2018-08-09,0.92920723,,0.92920723,71.9,66.81,除息,exright
