date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2020-04-23,0.99679744,,0.74318169,37.47,37.35,除息,exright
2020-07-16,0.99519693,,0.74556943,41.64,41.44,除息,exright
2020-10-21,0.99245994,,0.74916773,42.44,42.12,除息,exright
2021-01-19,0.99102468,,0.75485942,40.11,39.75,除息,exright
2021-04-20,0.99083530,,0.76169588,38.19,37.84,除息,exright
2021-07-16,0.99063719,,0.76874116,38.45,38.09,除息,exright
2021-10-19,0.98990704,,0.77600677,37.65,37.27,除息,exright
2022-01-18,0.98920266,,0.78391883,36.12,35.73,除息,exright
2022-04-20,0.98824985,,0.79247546,32.34,31.96,除息,exright
2022-07-19,0.98758389,,0.80189788,29.8,29.43,除息,exright
2022-10-19,0.98581560,,0.81197951,28.2,27.8,除息,exright
2023-01-31,0.98737961,,0.82366267,30.11,29.73,除息,exright
2023-04-21,0.98795584,,0.83419048,29.89,29.53,除息,exright
2023-07-18,0.98840292,,0.84436009,30.18,29.83,除息,exright
2023-10-19,0.98719824,,0.85426709,27.34,26.99,除息,exright
2024-01-17,0.98808736,,0.86534503,30.22,29.86,除息,exright
2024-04-18,0.98624957,,0.87577786,29.09,28.69,除息,exright
2024-07-16,0.98698340,,0.88798807,30.73,30.33,除息,exright
2024-10-17,0.98763423,,0.89969909,30.73,30.35,除息,exright
2025-01-17,0.98625430,,0.91096386,29.1,28.7,除息,exright
2025-04-23,0.98564250,,0.92366022,27.86,27.46,除息,exright
2025-07-21,0.98635330,,0.93711485,26.38,26.02,除息,exright
2025-10-23,0.98781726,,0.95008031,29.55,29.19,除息,exright
2026-01-22,0.98766278,,0.96179764,29.18,28.82,除息,exright
2026-04-23,0.98687845,,0.97381177,28.96,28.58,除息,exright
2026-07-21,0.98675958,,0.98675958,28.7,28.32,除息,exright
