date,factor,cum_factor,pre_close,ref_price,kind
2015-08-12,0.95735608,0.58810749,23.45,22.45,息
2016-08-17,0.96387097,0.61430381,31,29.88,息
2017-08-17,0.94957983,0.63732993,29.75,28.25,息
2018-08-16,0.95260664,0.67117045,31.65,30.15,息
2019-08-20,0.94698085,0.70456202,33.95,32.15,息
2020-08-25,0.95356037,0.74400873,32.3,30.8,息
2021-10-20,0.96064140,0.78024292,34.3,32.95,息
2022-08-23,0.95626822,0.81221038,34.3,32.8,息
2023-08-23,0.95695839,0.84935415,34.85,33.35,息
2024-08-20,0.96501458,0.88755599,34.3,33.1,息
2025-08-20,0.96113602,0.91973324,33.45,32.15,息
2026-08-24,0.95692308,0.95692308,32.5,31.1,息
