date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2025-10-21,0.99472675,,0.94295184,20.86,20.75,除息,exright
2025-11-19,0.99472422,,0.94795063,20.85,20.74,除息,exright
2025-12-16,0.99472928,,0.95297833,20.87,20.76,除息,exright
2026-01-16,0.99477435,,0.95802783,21.05,20.94,除息,exright
2026-02-26,0.99473432,,0.96306045,20.89,20.78,除息,exright
2026-03-17,0.99465241,,0.96815846,20.57,20.46,除息,exright
2026-04-20,0.99464981,,0.97336361,20.56,20.45,除息,exright
2026-05-19,0.99457058,,0.97859931,20.26,20.15,除息,exright
2026-06-16,0.99463676,,0.98394154,20.51,20.4,除息,exright
2026-07-16,0.99463676,,0.98924711,20.51,20.4,除息,exright
2026-08-18,0.99458128,,0.99458128,20.3,20.19,除息,exright
