date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2019-09-10,0.98887275,,0.74395782,10.2,10.08,息,exright
2020-03-11,0.97986883,,0.75232918,10.3,10.09,息,exright
2020-08-31,0.98099498,,0.76778560,10.36,10.16,息,exright
2021-03-16,0.97908682,,0.78266007,11,10.76,息,exright
2021-09-08,0.98379065,,0.79937760,10.8,10.62,息,exright
2021-11-01,0.97791549,,0.81254848,10.65,10.41,權,exright
2022-03-17,0.98787412,,0.83089847,10.28,10.15,息,exright
2022-09-05,0.98185010,,0.84109751,10.3,10.11,息,exright
2023-03-14,0.97908740,,0.85664554,10.24,10.02,息,exright
2023-09-05,0.97961200,,0.87494287,10.25,10.04,息,exright
2024-03-13,0.98081961,,0.89315246,10.25,10.05,息,exright
2024-09-09,0.98188175,,0.91061848,10.19,10,息,exright
2025-03-21,0.98024358,,0.92742174,10.12,9.92,息,exright
2025-06-12,0.99011102,,0.94611356,10.07,9.97,息,exright
2025-09-05,0.99033149,,0.95556311,10.1,10,息,exright
2025-10-16,0.99971858,,0.96489218,10.01,10,權,exright
2025-12-16,0.99328030,,0.96516380,10.05,9.98,息,exright
2026-03-16,0.99114165,,0.97169328,10.06,9.97,息,exright
2026-06-08,0.99015260,,0.98037781,10,9.9,息,exright
2026-09-07,0.99012800,,0.99012800,10,9.9,息,exright
