date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2008-08-21,0.91660517,,0.52462543,13.55,12.42,除權息,exright
2009-02-10,1.00000000,,0.57235706,10,10,除權,exright
2009-08-13,0.97079557,,0.57235706,9.93,9.64,除權息,exright
2010-02-03,0.98980392,,0.58957527,12.75,12.62,除權,exright
2011-08-19,0.96286472,,0.59564855,18.85,18.15,除權息,exright
2012-07-25,0.87288136,,0.61862122,11.8,10.3,除息,exright
2013-07-26,0.97222222,,0.70871169,10.8,10.5,除息,exright
2014-07-14,0.96774194,,0.72896059,18.6,18,除息,exright
2015-07-13,0.93600000,,0.75325928,12.5,11.7,除息,exright
2016-06-27,0.98290598,,0.80476418,11.7,11.5,除息,exright
2016-10-17,1.04788732,1.04814936,0.81876008,14.2,14.88,現金減資,reduce
2017-06-26,0.95710456,,0.78114829,18.65,17.85,除息,exright
2018-06-27,0.95155709,,0.81615774,28.9,27.5,除息,exright
2019-06-24,0.93621013,,0.85770759,26.65,24.95,除息,exright
2020-03-12,0.93784278,,0.91614859,27.35,25.65,除息,exright
2020-04-17,0.99137577,,0.97686799,24.35,24.14,除權,exright
2021-03-25,0.95388181,,0.98536601,43.15,41.16,除息,exright
2022-03-15,0.96050269,,1.03300640,55.7,53.5,除息,exright
2023-03-15,0.95117541,,1.07548517,55.3,52.6,除息,exright
2024-09-30,1.20387454,1.20387454,1.13069068,54.2,65.25,現金減資,reduce
2025-06-12,0.95744681,,0.93920973,47,45,除息,exright
2026-06-25,0.98095238,,0.98095238,105,103,除息,exright
