date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-23,0.94800000,0.51536923,50,47.4,除息,exright
2016-07-28,0.95155709,0.54363843,43.35,41.25,除息,exright
2017-07-27,0.96030246,0.57131457,52.9,50.8,除息,exright
2018-07-25,0.96559297,0.59493190,68.3,65.95,除息,exright
2019-07-25,0.94799406,0.61613114,67.3,63.8,除息,exright
2020-07-23,0.93577982,0.64993144,65.4,61.2,除息,exright
2021-07-21,0.94885599,0.69453458,74.3,70.5,除息,exright
2022-07-20,0.89983306,0.73197048,59.9,53.9,除息,exright
2023-06-16,0.92097701,0.81345143,69.6,64.1,除息,exright
2024-05-23,0.95283019,0.88324835,79.5,75.75,除息,exright
2025-06-17,0.93852459,0.92697352,61,57.25,除息,exright
2026-06-17,0.98769231,0.98769231,227.5,224.7,除息,exright
