date,factor,cum_factor,pre_close,ref_price,kind,event
2017-07-03,0.97159091,0.63632259,176,171,除息,exright
2018-07-03,0.96153846,0.65492851,130,125,除息,exright
2019-07-01,0.96740331,0.68112565,181,175.1,除息,exright
2020-07-07,0.96273292,0.70407620,161,155,除息,exright
2021-08-19,0.81429752,0.73133076,242,197.06,除權息,exright
2022-07-05,0.95984000,0.89811248,125,119.98,除息,exright
2023-07-05,0.97439490,0.93568978,157,152.98,除息,exright
2024-06-18,0.98761905,0.96027778,147,145.18,除息,exright
2025-05-29,0.98084507,0.97231598,106.5,104.46,除息,exright
2026-05-29,0.99130435,0.99130435,230,228,除息,exright
