date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2015-05-21,0.97235172,,0.73050178,18.91,18.38,息,exright
2016-05-24,0.97331708,,0.75127319,17.45,16.98,息,exright
2017-05-18,0.97007579,,0.77186891,14.95,14.5,息,exright
2018-05-17,0.96827169,,0.79567898,13.81,13.37,息,exright
2019-05-21,0.97243716,,0.82175178,15.26,14.83,息,exright
2020-05-20,0.97653035,,0.84504358,17.2,16.79,息,exright
2021-05-20,0.98216628,,0.86535312,18.95,18.61,息,exright
2022-05-18,0.98020347,,0.88106580,18.71,18.33,息,exright
2023-05-17,0.97783870,,0.89886011,17.96,17.56,息,exright
2024-05-16,0.97701163,,0.91923147,17.2,16.8,息,exright
2025-05-15,0.97112564,,0.94086032,15.33,14.88,息,exright
2026-05-14,0.96883481,,0.96883481,14.68,14.22,息,exright
