date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2025-03-17,0.99504460,,0.90391383,10.09,10.04,除息,exright
2025-04-17,0.99478079,,0.90841539,9.58,9.53,除息,exright
2025-05-16,0.99437570,,0.91318147,8.89,8.84,除息,exright
2025-06-16,0.99446290,,0.91834653,9.03,8.98,除息,exright
2025-07-15,0.99433107,,0.92345982,8.82,8.77,除息,exright
2025-08-15,0.99458874,,0.92872469,9.24,9.19,除息,exright
2025-09-15,0.99476987,,0.93377760,9.56,9.51,除息,exright
2025-10-17,0.99483471,,0.93868705,9.68,9.63,除息,exright
2025-11-17,0.99476440,,0.94356082,9.55,9.5,除息,exright
2025-12-15,0.99479167,,0.94852693,9.6,9.55,除息,exright
2026-01-16,0.99485597,,0.95349304,9.72,9.67,除息,exright
2026-02-25,0.99486653,,0.95842320,9.74,9.69,除息,exright
2026-03-16,0.99472574,,0.96336862,9.48,9.43,除息,exright
2026-04-17,0.99479167,,0.96847662,9.6,9.55,除息,exright
2026-05-18,0.99468650,,0.97354718,9.41,9.36,除息,exright
2026-06-15,0.99477534,,0.97874775,9.57,9.52,除息,exright
2026-07-15,0.99472017,,0.98388823,9.47,9.42,除息,exright
2026-08-17,0.99461787,,0.98911057,9.29,9.24,除息,exright
2026-09-15,0.99446290,,0.99446290,9.03,8.98,除息,exright
