date,factor,cum_factor,pre_close,ref_price,kind
2015-07-15,0.93421053,0.56499805,76,71,息
2016-07-05,0.93909866,0.60478665,82.1,77.1,息
2017-07-05,0.94764398,0.64400757,95.5,90.5,息
2018-07-16,0.94845361,0.67958810,97,92,息
2019-07-10,0.96153846,0.71652223,130,125,息
2020-07-09,0.96062992,0.74518312,127,122,息
2021-08-24,0.96296296,0.77572342,162,156,息
2022-06-27,0.96330275,0.80555893,163.5,157.5,息
2023-06-27,0.96052632,0.83624689,152,146,息
2024-07-17,0.95525424,0.87061320,147.5,140.9,息
2025-06-11,0.95718654,0.91139423,163.5,156.5,息
2026-06-15,0.95215947,0.95215947,150.5,143.3,息
