date,factor,cum_factor,pre_close,ref_price,kind
2023-07-18,0.98582474,0.73221152,15.52,15.3,息
2023-10-19,0.98601399,0.74274006,15.73,15.51,息
2024-01-17,0.97874852,0.75327538,16.94,16.58,息
2024-04-18,0.97927461,0.76963117,19.3,18.9,息
2024-07-19,0.96959620,0.78591966,21.05,20.41,息
2024-10-22,0.97537199,0.81056389,19.49,19.01,息
2025-01-22,0.97983651,0.83103052,18.35,17.98,息
2025-04-18,0.97653773,0.84813181,15.77,15.4,息
2025-07-16,0.98746439,0.86850901,17.55,17.33,息
2025-10-20,0.98925256,0.87953451,20.47,20.25,息
2026-01-19,0.96360000,0.88908995,25,24.09,息
2026-04-20,0.96669029,0.92267533,28.22,27.28,息
2026-07-16,0.95446839,0.95446839,41.29,39.41,息
