date,factor,cum_factor,pre_close,ref_price,kind
2015-07-21,0.91464646,0.53216606,19.8,18.11,權息
2016-07-14,0.92434018,0.58182706,17.05,15.76,權息
2017-06-22,0.95806452,0.62945123,15.5,14.85,息
2018-06-22,0.95757576,0.65700297,16.5,15.8,息
2019-06-26,0.95692308,0.68611069,16.25,15.55,息
2020-06-29,0.97032641,0.71699670,16.85,16.35,息
2021-06-11,0.96250000,0.73892321,16,15.4,息
2022-06-09,0.95294118,0.76771242,21.25,20.25,息
2023-06-29,0.93798450,0.80562415,19.35,18.15,息
2024-07-08,0.95061728,0.85888856,24.3,23.1,息
2025-06-26,0.94366197,0.90350614,17.75,16.75,息
2026-07-09,0.95744681,0.95744681,14.1,13.5,息
