date,factor,cum_factor,pre_close,ref_price,kind
2015-07-24,0.96626506,0.65967978,41.5,40.1,息
2016-07-26,0.96618357,0.68271099,41.4,40,息
2017-07-26,0.96759259,0.70660588,43.2,41.8,息
2018-07-26,0.96725146,0.73027210,42.75,41.35,息
2019-07-25,0.97125257,0.75499716,48.7,47.3,息
2020-07-24,0.97435897,0.77734379,54.6,53.2,息
2021-08-31,0.97302505,0.79780021,51.9,50.5,息
2022-07-26,0.93909627,0.81991744,50.9,47.8,息
2023-07-26,0.96923077,0.87309201,45.5,44.1,息
2024-07-25,0.96807298,0.90080921,43.85,42.45,息
2025-07-24,0.96530359,0.93051788,40.35,38.95,息
2026-07-24,0.96396396,0.96396396,38.85,37.45,息
