date,factor,cum_factor,pre_close,ref_price,kind
2016-07-07,0.98564593,0.74493184,10.45,10.3,息
2017-06-29,0.94565217,0.75578036,27.6,26.1,息
2018-06-28,0.95037221,0.79921602,20.15,19.15,息
2019-06-24,0.96309963,0.84095053,13.55,13.05,息
2020-07-09,0.96168582,0.87317086,13.05,12.55,息
2021-07-08,0.98286938,0.90795854,23.35,22.95,息
2022-07-07,0.96930946,0.92378353,19.55,18.95,息
2023-07-06,0.96996997,0.95303261,16.65,16.15,息
2024-07-04,0.99062500,0.98253827,16,15.85,息
2025-07-03,0.99183673,0.99183673,12.25,12.15,息
