date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2015-05-07,0.96652461,,0.71435176,19.02,18.38,息,exright
2016-05-05,0.97350530,,0.73909320,16.99,16.53,息,exright
2017-05-02,0.97227534,,0.75920819,14.72,14.31,息,exright
2018-05-03,0.97032070,,0.78085719,13.67,13.26,息,exright
2019-04-26,0.97417682,,0.80474135,15.4,15,息,exright
2020-04-24,0.97786313,,0.82607319,16.6,16.23,息,exright
2021-05-03,0.97937786,,0.84477384,18.88,18.49,息,exright
2022-05-03,0.97343803,,0.86256170,18.09,17.6,息,exright
2023-04-27,0.97402753,,0.88609822,15.4,15,息,exright
2024-05-02,0.97230190,,0.90972605,14.75,14.34,息,exright
2025-05-15,0.96927159,,0.93564154,13.2,12.79,息,exright
2026-05-08,0.96530379,,0.96530379,12.4,11.96,息,exright
