date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-03,0.92500000,0.41876687,15.2,14.06,除息,exright
2016-07-06,0.94618834,0.45272094,11.15,10.55,除息,exright
2017-06-22,0.96595745,0.47846810,11.75,11.35,除息,exright
2018-06-19,0.92514620,0.49533042,17.1,15.82,除息,exright
2019-06-19,0.93145161,0.53540772,12.4,11.55,除息,exright
2020-04-01,0.95454545,0.57481002,11,10.5,除息,exright
2021-03-31,0.95620915,0.60218192,15.3,14.63,除息,exright
2022-03-24,0.91456790,0.62975963,20.25,18.52,除息,exright
2023-03-29,0.91752577,0.68858707,24.25,22.25,除息,exright
2024-03-27,0.96800000,0.75048254,25,24.2,除息,exright
2024-08-22,0.90899471,0.77529188,28.35,25.77,除權,exright
2025-03-27,0.95581738,0.85291132,33.95,32.45,除息,exright
2025-08-27,0.93449477,0.89233711,28.7,26.82,除權,exright
2026-03-27,0.95488722,0.95488722,26.6,25.4,除息,exright
