date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2015-04-09,0.98651779,,0.71441597,14.84,14.63,息,exright
2015-10-07,0.98464132,,0.72417951,12.73,12.53,息,exright
2016-04-07,0.98487754,,0.73547544,13.4,13.19,息,exright
2016-10-03,0.98609070,,0.74676842,13.98,13.78,息,exright
2017-03-31,0.98526164,,0.75730195,13.19,12.99,息,exright
2017-09-29,0.98358771,,0.76863031,11.39,11.2,息,exright
2018-04-02,0.98466970,,0.78145579,12.64,12.44,息,exright
2018-09-25,0.98547646,,0.79362225,13,12.81,息,exright
2019-03-26,0.98675149,,0.80531833,13.38,13.2,息,exright
2019-09-25,0.98612625,,0.81613084,13.45,13.26,息,exright
2020-03-26,0.98650544,,0.82761294,14.34,14.14,息,exright
2020-09-24,0.98811965,,0.83893398,16.44,16.24,息,exright
2021-03-31,0.98869834,,0.84902065,18.1,17.89,息,exright
2021-09-24,0.98778419,,0.85872567,15.88,15.68,息,exright
2022-03-31,0.98729559,,0.86934543,16.1,15.89,息,exright
2022-09-26,0.98817237,,0.88053207,16,15.81,息,exright
2023-03-27,0.98619604,,0.89107133,14.65,14.44,息,exright
2023-09-21,0.98562014,,0.90354381,13.85,13.65,息,exright
2024-03-28,0.98473369,,0.91672620,13.06,12.86,息,exright
2024-10-01,0.98394512,,0.93093819,12.19,11.99,息,exright
2025-03-27,0.98270524,,0.94612816,11.83,11.62,息,exright
2025-10-02,0.98187918,,0.96277920,11.43,11.22,息,exright
2026-04-01,0.98054752,,0.98054752,11.11,10.89,息,exright
