date,factor,cum_factor,pre_close,ref_price,kind
2015-07-29,0.92344498,0.52640781,10.45,9.65,息
2016-07-19,0.90909091,0.57004784,12.1,11,息
2017-07-25,0.91666667,0.62705262,12,11,息
2018-07-25,0.94273128,0.68405741,11.35,10.7,息
2019-07-25,0.94537815,0.72561230,11.9,11.25,息
2020-07-30,0.95098039,0.76753656,10.2,9.7,息
2021-08-24,0.96875000,0.80710030,12.8,12.4,息
2022-07-28,0.95780591,0.83313580,11.85,11.35,息
2023-07-27,0.95815900,0.86983782,11.95,11.45,息
2024-07-25,0.97165354,0.90782200,12.7,12.34,息
2025-07-24,0.96878252,0.93430627,9.61,9.31,息
2026-07-30,0.96441281,0.96441281,8.43,8.13,息
