date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-09,0.97826087,0.56313452,36.8,36,除息,exright
2016-08-30,0.96875000,0.57564862,32,31,除息,exright
2017-06-30,0.96061776,0.59421793,25.9,24.88,除息,exright
2018-07-02,0.97260274,0.61857895,18.25,17.75,除息,exright
2019-08-01,0.83520000,0.63600371,50,41.76,除權息,exright
2020-07-30,0.97531172,0.76149870,40.1,39.11,除息,exright
2021-07-22,0.94659546,0.78077468,37.45,35.45,除息,exright
2022-07-12,0.97066667,0.82482403,26.25,25.48,除息,exright
2023-06-26,0.95626822,0.84975003,34.3,32.8,除息,exright
2024-06-19,0.96632997,0.88861055,29.7,28.7,除息,exright
2025-07-23,0.96509599,0.91957259,28.65,27.65,除息,exright
2026-07-09,0.95283019,0.95283019,21.2,20.2,除息,exright
