date,factor,cum_factor,pre_close,ref_price,kind
2015-07-15,0.93846154,0.50712145,9.75,9.15,息
2016-07-08,0.96829268,0.54037531,8.2,7.94,息
2017-06-29,0.97110423,0.55807022,9.69,9.41,息
2018-07-05,0.95515695,0.57467592,11.15,10.65,息
2019-07-09,0.96862745,0.60165601,10.2,9.88,息
2020-07-03,0.95391705,0.62114285,10.85,10.35,息
2021-07-06,0.95588235,0.65114975,27.2,26,息
2022-07-08,0.86602871,0.68120282,20.9,18.1,息
2023-07-10,0.94360902,0.78658226,26.6,25.1,息
2024-07-02,0.94878361,0.83358916,39.05,37.05,息
2025-07-09,0.94206897,0.87858723,36.25,34.15,息
2026-07-02,0.93261456,0.93261456,37.1,34.6,息
