date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-22,0.94170404,0.69827432,22.3,21,息,exright
2016-07-19,0.94500000,0.74150082,20,18.9,息,exright
2017-08-04,0.94841270,0.78465696,25.2,23.9,息,exright
2018-06-29,0.94166667,0.82733704,24,22.6,息,exright
2019-07-16,0.94926004,0.87858801,23.65,22.45,息,exright
2020-06-12,0.94444444,0.92555040,24.3,22.95,息,exright
2021-06-25,0.96871741,0.97999454,47.95,46.45,息,exright
2021-12-06,1.37935780,1.01164130,43.6,60.14,退還股款,reduce
2022-03-25,0.92098765,0.73341471,81,74.6,息,exright
2023-03-30,0.94224422,0.79633500,60.6,57.1,息,exright
2024-03-22,0.94594595,0.84514713,77.7,73.5,息,exright
2025-03-20,0.94778068,0.89344125,76.6,72.6,息,exright
2026-03-20,0.94266667,0.94266667,75,70.7,息,exright
