date,factor,cum_factor,pre_close,ref_price,kind,event
2015-09-08,0.91583333,0.47225176,24,21.98,除息,exright
2016-08-25,0.94692144,0.51565251,23.55,22.3,除息,exright
2017-08-16,0.94000000,0.54455680,22.5,21.15,除息,exright
2018-07-03,0.95778364,0.57931575,18.95,18.15,除息,exright
2019-08-15,0.94615385,0.60485033,29.9,28.29,除息,exright
2020-07-29,0.95640000,0.63927270,25,23.91,除息,exright
2021-08-03,0.94545455,0.66841562,40.15,37.96,除息,exright
2022-08-03,0.90978261,0.70697806,36.8,33.48,除息,exright
2023-08-01,0.92382199,0.77708461,38.2,35.29,除息,exright
2024-08-01,0.95906593,0.84116271,72.8,69.82,除息,exright
2025-07-22,0.92280928,0.87706453,77.6,71.61,除息,exright
2026-07-23,0.95042882,0.95042882,58.3,55.41,除息,exright
